change,bitrate,buffer
0,577,168.046793761
1,1226,53.7863812235
2,1226,53.7955278493
3,1226,53.7958796426
4,1225,53.8050262683
5,1225,53.8037949918
6,1225,53.8154041706
7,1225,53.8142608424
8,1225,53.8258700212
9,1225,53.8246387447
10,1224,53.8329938355
11,1224,53.831762559
12,1224,53.8416127713
13,1224,53.8371274068
14,1224,53.8526942602
15,1224,53.8478571024
16,1223,53.8634239558
17,1223,53.8569157798
18,1223,53.8762644112
19,1223,53.868349062
20,1223,53.8872579518
21,1223,53.8760005662
22,1223,53.8986032856
23,1223,53.888137435
24,1222,53.9090691362
25,1222,53.8949974043
26,1222,53.9215577983
27,1222,53.9067824798
28,1222,53.9343982537
29,1222,53.9196229352
30,1221,53.9478543474
31,1221,53.9329031322
32,1221,53.9605189061
33,1221,53.9441605177
34,1221,53.9754701213
35,1221,53.9555058516
36,1220,53.991124923
37,1220,53.9664114438
38,1220,54.0050207583
39,1220,53.9799554858
40,1220,54.0197960768
41,1220,53.9927959412
42,1219,54.0326365322
43,1219,54.0050207583
44,1219,54.0460046775
45,1219,54.0173335237
46,1219,54.0602523061
47,1219,54.0315811523
48,1218,54.1003567421
49,1218,54.1146043707
50,1218,54.1021157086
51,1218,54.1163633372
52,1218,54.1038746751
53,1218,54.1181223037
54,1218,54.1056336416
55,1218,54.1198812701
56,1217,54.1073926081
57,1217,54.1216402366
58,1217,54.1091515746
59,1217,54.1233992031
60,1217,54.1233112548
61,1217,54.1375588834
62,1216,54.1383504183
63,1216,54.1489921656
64,1216,54.1523342019
65,1216,54.1627121042
66,1216,54.1663179855
67,1216,54.1762561462
68,1215,54.1806535624
69,1215,54.190855568
70,1215,54.1933181211
71,1215,54.2022009019
72,1215,54.2087090779
73,1215,54.2142498224
74,1214,54.2207579984
75,1214,54.2270902778
76,1214,54.2299046241
77,1214,54.235005627
78,1214,54.2363248518
79,1214,54.2439763561
80,1213,54.2459112192
81,1213,54.2521555502
82,1213,54.2535627234
83,1213,54.261302176
84,1213,54.2614780726
85,1213,54.2694813702
86,1213,54.2704488017
87,1213,54.2755498046
88,1212,54.2765172361
89,1212,54.2802110658
90,1212,54.2811784973
91,1212,54.2839048954
92,1212,54.2819700323
93,1212,54.2846964303
94,1211,54.2827615672
95,1211,54.2854879652
96,1211,54.2857518102
97,1211,54.2905010197
98,1211,54.2907648647
99,1211,54.2957779192
100,1210,54.2963056092
101,1210,54.3015825086
102,1210,54.3026378885
103,1210,54.3093219612
104,1210,54.3087942712
105,1210,54.3175891037
106,1209,54.3167975688
107,1209,54.3261200912
108,1209,54.3269995744
109,1209,54.3363220968
110,1209,54.3372895284
111,1209,54.3469638441
112,1208,54.3465241025
113,1208,54.3579573847
114,1208,54.3578694363
115,1208,54.3681593903
116,1208,54.3693906668
117,1208,54.3806480524
118,1208,54.3839900887
119,1208,54.4050976866
120,1207,54.4633194774
121,1207,54.4074722914
122,1207,54.4656940822
123,1207,54.4098468961
124,1207,54.468068687
125,1207,54.4122215009
126,1206,54.4704432917
127,1206,54.4145961057
128,1206,54.4728178965
129,1206,54.4169707104
130,1206,54.484075282
131,1206,54.4288437342
132,1205,54.4966518924
133,1205,54.4421239312
134,1205,54.5088767096
135,1205,54.458042578
136,1205,54.5223328032
137,1205,54.4715866199
138,1204,54.5349094136
139,1204,54.4841632304
140,1204,54.5470462824
141,1204,54.497619324
142,1204,54.5619095492
143,1204,54.5098441411
144,1203,54.5762451261
145,1203,54.524707408
146,1203,54.5894373748
147,1203,54.5506521637
148,1203,54.6153821306
149,1203,54.594362481
150,1203,54.617668787
151,1203,54.5966491374
152,1202,54.6199554434
153,1202,54.5989357939
154,1202,54.6222420999
155,1202,54.6012224503
156,1202,54.6245287563
157,1202,54.6035091067
158,1201,54.6352584519
159,1201,54.6168772521
160,1201,54.6495940288
161,1201,54.6289261725
162,1201,54.6629621741
163,1201,54.6415907313
164,1200,54.6742195597
165,1200,54.6527601685
166,1200,54.6850372036
167,1200,54.6611152593
168,1200,54.6957668992
169,1200,54.6717570066
170,1199,54.7060568531
171,1199,54.6868841184
172,1199,54.7178419286
173,1199,54.6986691939
174,1199,54.7317377639
175,1199,54.7123011842
176,1198,54.7453697542
177,1198,54.7259331745
178,1198,54.7590896928
179,1198,54.7389495265
180,1198,54.7718421999
181,1198,54.7530212584
182,1198,54.7857380352
183,1198,54.767005042
184,1197,54.8005133537
185,1197,54.7783503759
186,1197,54.814145344
187,1197,54.7925100562
188,1197,54.8280411793
189,1197,54.8057023048
190,1196,54.8414972729
191,1196,54.817399432
192,1196,54.8551292632
193,1196,54.8305037324
194,1196,54.8662987004
195,1196,54.8416731696
196,1195,54.8777319826
197,1195,54.8532823484
198,1195,54.8891652648
199,1195,54.8635723024
200,1195,54.9010382886
201,1195,54.8747417396
202,1194,54.9114161909
203,1194,54.8856473318
204,1194,54.9223217832
205,1194,54.8976962523
206,1194,54.9323478922
207,1194,54.9074585163
208,1193,54.9388560682
209,1193,54.9123836225
210,1193,54.9437811744
211,1193,54.9257517678
212,1193,54.9546867666
213,1193,54.9372729983
214,1193,54.9663838938
215,1193,54.9494978155
216,1192,54.9839735587
217,1192,54.9899540447
218,1192,54.9893384065
