change,bitrate,buffer
0,911,55.261405672
1,1449,8.35949933569
2,1444,8.40458093132
3,1444,8.40458093132
4,1440,8.49923357608
5,1440,8.5252349943
6,1436,8.66197626568
7,1436,8.71472734438
8,1432,8.84959801014
9,1432,8.91432096486
10,1427,9.05480344749
11,1427,9.10231683044
12,1423,9.25757709753
13,1423,9.30153632978
14,1419,9.46278253489
15,1419,9.48074034891
16,1414,9.6425477357
17,1414,9.68594578627
18,1410,9.84999789981
19,1410,9.86346626033
20,1406,10.0106829232
21,1406,10.0286407373
22,1402,10.1438700439
23,1402,10.151539527
24,1397,10.2809854364
25,1397,10.2772442252
26,1393,10.4553258809
27,1393,10.4564482443
28,1389,10.6096508452
29,1389,10.5752317017
30,1384,10.7404061786
31,1384,10.6753091027
32,1378,10.8492328733
