change,bitrate,buffer
0,2116,108.353497164
1,2114,108.705290463
2,2114,108.705290463
3,2113,109.057083761
4,2113,109.057083761
5,2111,109.408877059
6,2111,109.408877059
7,2110,109.760670357
8,2110,109.760670357
9,2109,110.112463655
10,2109,110.112463655
11,2107,110.464256953
12,2107,110.464256953
13,2106,110.816050251
14,2106,110.816050251
15,2104,111.167843549
16,2104,111.167843549
17,2103,111.519636848
18,2103,111.519636848
19,2102,111.871430146
20,2102,111.871430146
21,2100,112.223223444
22,2100,112.223223444
23,2099,112.575016742
24,2099,112.575016742
25,2098,112.92681004
26,2098,112.92681004
27,2096,113.278603338
28,2096,113.278603338
29,2095,113.630396636
30,2095,113.630396636
31,2093,113.89424161
32,2093,113.89424161
33,2092,114.158086584
34,2092,114.158086584
35,2091,114.421931557
36,2091,114.421931557
37,2089,114.685776531
38,2089,114.685776531
39,2088,114.949621504
40,2088,114.949621504
41,2086,115.213466478
42,2086,115.213466478
43,2085,115.477311452
44,2085,115.477311452
45,2084,115.741156425
46,2084,115.741156425
47,2082,116.005001399
48,2082,116.005001399
49,2081,116.268846372
50,2081,116.268846372
51,2080,116.532691346
52,2080,116.532691346
53,2078,116.796536319
54,2078,116.796536319
55,2077,117.060381293
56,2077,117.060381293
57,2075,117.324226267
58,2075,117.324226267
59,2074,117.58807124
60,2074,117.58807124
61,2073,117.763967889
62,2073,117.763967889
63,2071,117.939864538
64,2071,117.939864538
65,2070,118.115761187
66,2070,118.115761187
67,2068,118.291657837
68,2068,118.291657837
69,2067,118.467554486
70,2067,118.467554486
71,2066,118.643451135
72,2066,118.643451135
73,2064,118.819347784
74,2064,118.819347784
75,2063,118.995244433
76,2063,118.995244433
77,2062,119.171141082
78,2062,119.171141082
79,2060,119.347037731
80,2060,119.347037731
81,2059,119.52293438
82,2059,119.52293438
83,2057,119.698831029
84,2057,119.698831029
85,2056,119.874727678
86,2056,119.874727678
87,2055,120.050624327
88,2055,120.050624327
89,2053,120.226520976
90,2053,120.226520976
91,2052,120.358443463
92,2052,120.358443463
93,2050,120.49036595
94,2050,120.49036595
95,2049,120.622288437
96,2049,120.622288437
97,2048,120.754210923
98,2048,120.754210923
99,2046,120.88613341
100,2046,120.88613341
101,2045,121.018055897
102,2045,121.018055897
103,2044,121.149978384
104,2044,121.149978384
105,2042,121.281900871
106,2042,121.281900871
107,2041,121.413823357
108,2041,121.413823357
109,2039,121.545745844
110,2039,121.545745844
111,2038,121.677668331
112,2038,121.677668331
113,2037,121.809590818
114,2037,121.809590818
115,2035,121.941513305
116,2035,121.941513305
117,2034,122.073435791
118,2034,122.073435791
119,2033,122.205358278
120,2033,122.205358278
121,2031,122.381254927
122,2031,122.381254927
123,2030,122.557151576
124,2030,122.557151576
125,2028,122.733048225
126,2028,122.733048225
127,2027,122.908944874
128,2027,122.908944874
129,2026,123.084841523
130,2026,123.084841523
131,2024,123.260738173
132,2024,123.260738173
133,2023,123.436634822
134,2023,123.436634822
135,2021,123.612531471
136,2021,123.612531471
137,2020,123.78842812
138,2020,123.78842812
139,2019,123.964324769
140,2019,123.964324769
141,2017,124.140221418
142,2017,124.140221418
143,2016,124.316118067
144,2016,124.316118067
145,2015,124.492014716
146,2015,124.492014716
147,2013,124.667911365
148,2013,124.667911365
149,2012,124.843808014
150,2012,124.843808014
151,2010,125.107652988
152,2010,125.107652988
153,2009,125.371497961
154,2009,125.371497961
155,2008,125.635342935
156,2008,125.635342935
157,2006,125.899187908
158,2006,125.899187908
159,2005,126.163032882
160,2005,126.163032882
161,2003,126.426877856
162,2003,126.426877856
163,2002,126.690722829
164,2002,126.690722829
165,2001,126.954567803
166,2001,126.954567803
167,1999,127.218412776
168,1999,127.218412776
169,1998,127.48225775
170,1998,127.48225775
171,1997,127.746102724
172,1997,127.746102724
173,1995,128.009947697
174,1995,128.009947697
175,1994,128.273792671
176,1994,128.273792671
177,1992,128.537637644
178,1992,128.537637644
179,1991,128.801482618
180,1991,128.801482618
181,1990,129.153275916
182,1990,129.153275916
183,1988,129.505069214
184,1988,129.505069214
185,1987,129.856862512
186,1987,129.856862512
187,1985,130.208655811
188,1985,130.208655811
189,1984,130.560449109
190,1984,130.560449109
191,1983,130.912242407
192,1983,130.912242407
193,1981,131.264035705
194,1981,131.264035705
195,1980,131.615829003
196,1980,131.615829003
197,1979,131.967622301
198,1979,131.967622301
199,1977,132.319415599
200,1977,132.319415599
201,1976,132.671208897
202,1976,132.671208897
203,1974,133.023002196
204,1974,133.023002196
205,1973,133.374795494
206,1973,133.374795494
207,1972,133.726588792
208,1972,133.726588792
209,1970,134.07838209
210,1970,134.07838209
211,1969,134.518123713
212,1969,134.518123713
213,1967,134.957865335
214,1967,134.957865335
215,1966,135.397606958
216,1966,135.397606958
217,1965,135.837348581
218,1965,135.837348581
219,1963,136.277090203
220,1963,136.277090203
221,1962,136.716831826
222,1962,136.716831826
223,1961,137.156573449
224,1961,137.156573449
225,1959,137.596315071
226,1959,137.596315071
227,1958,138.036056694
228,1958,138.036056694
229,1956,138.475798316
230,1956,138.475798316
231,1955,138.915539939
232,1955,138.915539939
233,1954,139.355281562
234,1954,139.355281562
235,1952,139.795023184
236,1952,139.795023184
237,1951,140.234764807
238,1951,140.234764807
239,1950,140.67450643
