change,bitrate,buffer
0,1576,119.714557564
1,2024,119.766927779
2,2021,120.185316007
3,2021,120.185316007
4,2019,120.603704235
5,2025,120.262911058
6,2022,120.681299286
7,2022,120.681299286
8,2037,119.959209925
9,2034,120.377598152
10,2034,120.377598152
11,2032,120.79598638
12,2045,119.741559827
13,2042,120.159948054
14,2042,120.159948054
15,2046,119.878203908
16,2046,119.982800965
17,2046,119.878203908
18,2046,119.982800965
19,2046,119.878203908
20,2046,119.982800965
21,2046,119.878203908
22,2046,119.982800965
23,2046,119.878203908
24,2046,119.982800965
25,2046,119.878203908
26,2046,119.982800965
27,2046,119.878203908
28,2046,119.982800965
29,2045,119.741559827
30,2045,119.741559827
31,2042,120.159948054
32,2042,120.159948054
33,2041,120.023303973
34,2041,120.023303973
35,2040,119.782062835
36,2040,119.782062835
37,2038,120.200451063
38,2038,120.200451063
39,2035,120.618839291
40,2035,120.618839291
41,2032,121.037227518
42,2032,121.037227518
43,2030,121.455615746
44,2030,121.455615746
45,2027,121.874003974
46,2027,121.874003974
47,2024,122.292392202
48,2024,122.292392202
49,2022,122.71078043
50,2022,122.71078043
51,2019,123.129168657
52,2019,123.129168657
53,2016,123.547556885
54,2016,123.547556885
55,2014,123.965945113
56,2014,123.965945113
57,2011,124.384333341
58,2011,124.384333341
59,2008,124.802721568
60,2008,124.802721568
61,2006,125.221109796
62,2006,125.221109796
63,2003,125.639498024
64,2003,125.639498024
65,2000,126.057886252
66,2000,126.057886252
67,1998,126.685468593
68,1998,126.685468593
69,1995,127.313050935
70,1995,127.313050935
71,1992,127.940633277
72,1992,127.940633277
73,1990,128.568215618
74,1990,128.568215618
75,1987,129.19579796
76,1987,129.19579796
77,1984,129.823380302
78,1984,129.823380302
79,1982,130.450962643
80,1982,130.450962643
81,1979,131.078544985
82,1979,131.078544985
83,1976,131.706127327
84,1976,131.706127327
85,1973,132.333709669
86,1973,132.333709669
87,1971,132.96129201
88,1971,132.96129201
89,1968,133.588874352
90,1968,133.588874352
91,1965,134.216456694
92,1965,134.216456694
93,1963,134.844039035
94,1963,134.844039035
95,1960,135.471621377
96,1960,135.471621377
97,1957,136.308397832
98,1957,136.308397832
99,1955,137.145174288
100,1955,137.145174288
101,1952,137.981950744
102,1952,137.981950744
103,1949,138.818727199
104,1949,138.818727199
105,1947,139.655503655
106,1947,139.655503655
107,1944,140.49228011
108,1944,140.49228011
109,1941,141.329056566
110,1941,141.329056566
111,1939,142.165833021
112,1939,142.165833021
113,1936,143.002609477
114,1936,143.002609477
115,1933,143.839385932
116,1933,143.839385932
117,1931,144.676162388
118,1931,144.676162388
119,1928,145.512938844
120,1928,145.512938844
121,1925,146.349715299
122,1925,146.349715299
123,1923,147.186491755
124,1923,147.186491755
125,1920,148.02326821
126,1920,148.02326821
127,1917,149.06923878
128,1917,149.06923878
129,1915,150.115209349
130,1915,150.115209349
131,1912,151.161179919
132,1912,151.161179919
133,1909,152.207150488
134,1909,152.207150488
135,1907,153.253121058
136,1907,153.253121058
137,1904,154.299091627
138,1904,154.299091627
139,1901,155.345062196
140,1901,155.345062196
141,1899,156.391032766
142,1899,156.391032766
143,1896,157.437003335
144,1896,157.437003335
145,1893,158.482973905
146,1893,158.482973905
147,1891,159.528944474
148,1891,159.528944474
149,1888,160.574915044
150,1888,160.574915044
151,1885,161.620885613
152,1885,161.620885613
153,1883,162.666856183
154,1883,162.666856183
155,1880,163.712826752
156,1880,163.712826752
157,1877,164.549603208
158,1877,164.549603208
159,1875,165.386379663
160,1875,165.386379663
161,1872,166.223156119
162,1872,166.223156119
163,1869,167.059932574
164,1869,167.059932574
165,1866,167.89670903
166,1866,167.89670903
167,1864,168.733485485
168,1864,168.733485485
169,1861,169.570261941
170,1861,169.570261941
171,1858,170.407038397
172,1858,170.407038397
173,1856,171.243814852
174,1856,171.243814852
175,1853,172.080591308
176,1853,172.080591308
177,1850,172.917367763
178,1850,172.917367763
179,1848,173.754144219
180,1848,173.754144219
181,1845,174.590920674
182,1845,174.590920674
183,1842,175.42769713
184,1842,175.42769713
185,1840,176.264473585
186,1840,176.264473585
187,1837,176.892055927
188,1837,176.892055927
189,1834,177.519638269
190,1834,177.519638269
191,1832,178.14722061
192,1832,178.14722061
193,1829,178.774802952
194,1829,178.774802952
195,1826,179.402385294
196,1826,179.402385294
197,1824,180.029967635
198,1824,180.029967635
199,1821,180.657549977
200,1821,180.657549977
201,1818,181.285132319
202,1818,181.285132319
203,1816,181.91271466
204,1816,181.91271466
205,1813,182.540297002
206,1813,182.540297002
207,1810,183.167879344
208,1810,183.167879344
209,1808,183.795461685
210,1808,183.795461685
211,1805,184.423044027
212,1805,184.423044027
213,1802,185.050626369
214,1802,185.050626369
215,1800,185.678208711
216,1800,185.678208711
217,1797,186.096596938
218,1797,186.096596938
219,1794,186.514985166
220,1794,186.514985166
221,1792,186.933373394
222,1792,186.933373394
223,1789,187.351761622
224,1789,187.351761622
225,1786,187.770149849
226,1786,187.770149849
227,1784,188.188538077
228,1784,188.188538077
229,1781,188.606926305
230,1781,188.606926305
231,1778,189.025314533
232,1778,189.025314533
233,1776,189.443702761
234,1776,189.443702761
235,1773,189.862090988
236,1773,189.862090988
237,1770,190.280479216
238,1770,190.280479216
239,1768,190.698867444
