profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p1,t1,abr,2616.02,95,0.270815,0,0,0,55.229,92,622398
p1,t1,ar,3189.02,37,0.300091,0,0,0,0,0,892127
p1,t1,bba,2985.53,79,0.294502,0,0,0,1.293,7,757274
p1,t1,bola,1638.41,4,0.507835,0,0,0,0,0,477261
p1,t1,dy,2888.49,40,0.376067,0,0,0,29.752,39,800025
p1,t1,elastic,2970.65,39,0.22572,0.541,2,0.2705,19.422,30,814360
p1,t1,gd,2483.1,38,0.50216,0,0,0,86.077,82,681161
p1,t1,kama,1550.87,20,0.534271,0,0,0,209.668,218,427783
p1,t1,quetra,3219.3,51,0.346262,0,0,0,0,0,883668
p1,t1,ra,3173.66,33,0.293453,0,0,0,0,0,891323
p1,t2,abr,2923.41,88,0.222902,0,0,0,91.455,55,259898
p1,t2,ar,3418.33,12,0.25816,0,0,0,1.415,2,427711
p1,t2,bba,3170.64,18,0.331041,0,0,0,18.815,8,379059
p1,t2,bola,1938.93,4,0.384054,0,0,0,0,0,243977
p1,t2,dy,3166.05,34,0.358399,0,0,0,60.837,26,368116
p1,t2,elastic,2731.56,14,0.212772,0,0,0,79.104,52,334415
p1,t2,gd,2544.31,20,0.437031,0,0,0,161.652,54,303370
p1,t2,kama,2116.7,16,0.383863,0,0,0,220.198,93,251084
p1,t2,quetra,3391.49,14,0.269537,0,0,0,0,0,422619
p1,t2,ra,3313.86,17,0.29512,0,0,0,5.282,2,408340
p1,t3,abr,2719.58,146,0.296171,0,0,0,121.116,129,657836
p1,t3,ar,3205.58,17,0.323687,0,0,0,0,0,1.01457e+06
p1,t3,bba,3353.75,94,0.387939,0,0,0,16.487,15,897247
p1,t3,bola,2887.92,7,0.325825,0,0,0,0,0,930377
p1,t3,dy,3192.47,48,0.418031,0,0,0,45.78,37,974939
p1,t3,elastic,3177.5,33,0.262131,0,0,0,2.605,6,985681
p1,t3,gd,2112.23,36,0.51243,0,0,0,177.75,143,636575
p1,t3,kama,1628.66,26,0.495838,0,0,0,269.662,251,492703
p1,t3,quetra,3168.47,13,0.312958,0,0,0,0,0,1.01184e+06
p1,t3,ra,3214.74,19,0.327697,0,0,0,0,0,1.01962e+06
p1,t4,abr,2506.9,78,0.332952,0,0,0,151.828,67,158600
p1,t4,ar,3439,18,0.214923,0,0,0,0,0,379187
p1,t4,bba,3417.9,36,0.236847,0,0,0,8.958,9,319138
p1,t4,bola,2303.02,6,0.41064,0,0,0,2.217,2,259110
p1,t4,dy,3385.94,22,0.319112,0,0,0,43.262,21,365329
p1,t4,elastic,2510.86,13,0.27022,0,0,0,134.404,77,274663
p1,t4,gd,2626.21,20,0.425071,0,0,0,135.83,50,281510
p1,t4,kama,2833.07,33,0.416092,0,0,0,121.041,45,276929
p1,t4,quetra,3087.38,13,0.322968,0,0,0,77.672,29,343804
p1,t4,ra,3422.74,15,0.204429,0,0,0,0,0,379000
p1,t5,abr,1801.32,24,0.426284,0,0,0,36.832,19,95290.7
p1,t5,ar,2708.53,16,0.467336,0,0,0,23.617,12,153641
p1,t5,bba,2521.67,20,0.50617,0,0,0,34.961,18,136660
p1,t5,bola,2111.61,4,0.368147,0,0,0,17.941,10,126030
p1,t5,dy,2541.08,30,0.521242,0,0,0,44.638,21,133108
p1,t5,elastic,2463.15,10,0.306518,0,0,0,29.868,15,139304
p1,t5,gd,2321.32,34,0.634679,0,0,0,68.184,34,117139
p1,t5,kama,2500.74,28,0.593554,0,0,0,67.792,34,129846
p1,t5,quetra,2710.09,16,0.474984,0,0,0,24.672,14,153571
p1,t5,ra,2701.98,16,0.463786,0,0,0,23.333,13,153260
p1,t6,abr,2597.4,476,0.299426,3.904,1,3.904,8.551,5,-43120.8
p1,t6,ar,3003.37,105,0.536928,0,0,0,0,0,574627
p1,t6,bba,2958.21,81,0.756234,0,0,0,0,0,538986
p1,t6,bola,2208.05,52,0.319069,1.272,1,1.272,0,0,427028
p1,t6,dy,3187.36,115,0.592498,0,0,0,13.641,9,600165
p1,t6,elastic,2649.97,55,0.267734,3.703,1,3.703,0,0,481384
p1,t6,gd,1937.96,93,0.845951,0,0,0,219.613,88,346926
p1,t6,kama,4115.37,204,0.821579,0,0,0,113.337,51,719460
p1,t6,quetra,2958.7,121,0.465301,0,0,0,0,0,558472
p1,t6,ra,3092.23,113,0.430836,0,0,0,0,0,585138
p1,t7,abr,2580.9,235,0.339005,0.526,1,0.526,44.538,53,652417
p1,t7,ar,2803.61,33,0.279821,0,0,0,1.042,5,918733
p1,t7,bba,2459.21,43,0.755528,0,0,0,27.013,33,790454
p1,t7,bola,2635.24,29,0.261376,0.783,1,0.783,0,0,859856
p1,t7,dy,2740.1,93,0.491579,0,0,0,47.928,51,850925
p1,t7,elastic,2654.59,52,0.235809,0.962,1,0.962,0,0,844841
p1,t7,gd,2507.74,105,0.571773,0,0,0,80.134,73,764919
p1,t7,kama,1672.47,141,0.713789,0,0,0,213.845,175,453239
p1,t7,quetra,2761.88,31,0.268417,0,0,0,4.285,10,903679
p1,t7,ra,2764.29,37,0.284639,0,0,0,2.523,6,899762
p2,t1,abr,2257.18,108,0.292286,0,0,0,73.277,101,493093
p2,t1,ar,3034.45,36,0.266231,0.532,1,0.532,0,0,836742
p2,t1,bba,2784.58,67,0.243828,0.565,1,0.565,4.778,10,708973
p2,t1,bola,1200,0,0.496311,0,0,0,0,0,345502
p2,t1,dy,2947,50,0.417226,0.726,1,0.726,20.208,24,792382
p2,t1,elastic,2841.9,30,0.231343,0.508,1,0.508,18.95,39,784817
p2,t1,gd,2278.91,34,0.454981,0.525,1,0.525,87.606,88,618941
p2,t1,kama,2149.96,50,0.426034,0.537,1,0.537,117.58,135,552338
p2,t1,quetra,3033.35,36,0.258132,0.528,1,0.528,0,0,836571
p2,t1,ra,3045.99,30,0.256921,0,0,0,0,0,852037
p2,t2,abr,2868.67,82,0.21033,0,0,0,97.279,52,251061
p2,t2,ar,3283.64,12,0.160656,0,0,0,18.587,7,400367
p2,t2,bba,3141.46,14,0.19951,0,0,0,6.694,5,371539
p2,t2,bola,1622,0,0.426935,0,0,0,0,0,196975
p2,t2,dy,3168.91,30,0.318894,0,0,0,55.644,23,365109
p2,t2,elastic,3002.6,14,0.18128,0,0,0,58.129,31,358218
p2,t2,gd,2455.89,20,0.359844,0,0,0,144.302,50,283619
p2,t2,kama,1874.38,8,0.359879,0,0,0,255.616,97,220574
p2,t2,quetra,3342.03,10,0.156348,0,0,0,0,0,409284
p2,t2,ra,3283.65,10,0.166552,0,0,0,0,0,401954
p2,t3,abr,2624.08,102,0.290454,1.021,2,0.5105,124.047,138,693335
p2,t3,ar,3281.54,14,0.216558,0.897,1,0.897,0,0,1.04264e+06
p2,t3,bba,3285.35,70,0.267316,0.896,1,0.896,8.615,12,921500
p2,t3,bola,1198,0,0.495958,0.851,1,0.851,0,0,387545
p2,t3,dy,2839.11,58,0.39594,0.56,1,0.56,66.173,64,842313
p2,t3,elastic,3253.42,24,0.228056,3.169,2,1.5845,1.691,2,1.01567e+06
p2,t3,gd,2385.06,44,0.410778,0.895,1,0.895,132.393,114,713553
p2,t3,kama,1980.4,46,0.421947,0.966,1,0.966,207.099,181,574544
p2,t3,quetra,3217.75,20,0.242579,0.929,1,0.929,8.699,6,1.01663e+06
p2,t3,ra,3290.35,10,0.221376,0.907,1,0.907,2.112,3,1.05629e+06
p2,t4,abr,2544.05,74,0.306716,0,0,0,135.319,60,170629
p2,t4,ar,3461.39,22,0.182344,1.412,1,1.412,0,0,360866
p2,t4,bba,3223.72,38,0.17187,0,0,0,6.193,8,287015
p2,t4,bola,1143,0,0.503038,0,0,0,0,0,125029
p2,t4,dy,3253.84,30,0.353383,3.983,1,3.983,41.459,19,314952
p2,t4,elastic,2372.34,14,0.253866,0,0,0,155.387,79,249296
p2,t4,gd,2360.43,24,0.44954,0,0,0,158.826,48,236005
p2,t4,kama,2312.13,26,0.397637,0,0,0,178.536,68,220518
p2,t4,quetra,2899.89,14,0.310802,1.709,1,1.709,93.785,37,307907
p2,t4,ra,3385.35,14,0.206088,0,0,0,0,0,366773
p2,t5,abr,1838.48,2,0.397007,1.554,2,0.777,64.553,33,105006
p2,t5,ar,2615.35,16,0.425845,0,0,0,68.477,35,149084
p2,t5,bba,2552.5,14,0.389495,0,0,0,68.956,36,144572
p2,t5,bola,1853.61,10,0.399185,0,0,0,56.921,31,105616
p2,t5,dy,2637.56,26,0.455134,0,0,0,67.255,35,143209
p2,t5,elastic,2238.26,8,0.321013,1.168,1,1.168,66.477,35,123593
p2,t5,gd,2267.91,34,0.605988,0,0,0,89.955,42,115354
p2,t5,kama,2481.38,16,0.452307,0,0,0,82.655,43,137269
p2,t5,quetra,2614.59,16,0.426745,0,0,0,64.776,35,148816
p2,t5,ra,2616.11,16,0.424898,0,0,0,66.881,35,149122
p2,t6,abr,2972.17,356,0.318529,3.308,1,3.308,24.736,26,173184
p2,t6,ar,2936.49,73,0.432889,0,0,0,0,0,571315
p2,t6,bba,2988.24,50,0.527868,0,0,0,0,0,581297
p2,t6,bola,1976.03,44,0.385742,3.294,1,3.294,0,0,365702
p2,t6,dy,3334.56,166,0.623529,0,0,0,52.446,23,606465
p2,t6,elastic,2607.95,48,0.251214,3.345,1,3.345,0,0,483666
p2,t6,gd,1394.49,73,0.881526,0,0,0,320.682,143,245011
p2,t6,kama,3915.88,234,0.820064,0,0,0,142.272,63,672498
p2,t6,quetra,2951.95,105,0.452823,0,0,0,0,0,559771
p2,t6,ra,3068.11,77,0.37266,0,0,0,0,0,591007
p2,t7,abr,2547.2,123,0.31586,0,0,0,38.93,47,740164
p2,t7,ar,2703.61,35,0.281161,0,0,0,0,0,880088
p2,t7,bba,2617.77,29,0.309704,0,0,0,19.482,32,851916
p2,t7,bola,2422.3,27,0.322091,0,0,0,0,0,788774
p2,t7,dy,2311.05,107,0.516921,0,0,0,46.763,58,693527
p2,t7,elastic,2521.99,37,0.2148,0,0,0,2.642,5,813546
p2,t7,gd,1577.9,81,0.718452,0,0,0,169.375,129,465710
p2,t7,kama,2234,131,0.649783,0,0,0,155.701,149,644487
p2,t7,quetra,2704.35,39,0.287305,0,0,0,0,0,876063
p2,t7,ra,2681.96,27,0.283912,0,0,0,0.597,2,877905
p3,t1,abr,1551.67,142,0.319468,4.371,8,0.546375,61.363,76,212222
p3,t1,ar,1942.5,27,0.23389,3.535,8,0.441875,0,0,506351
p3,t1,bba,1901.5,61,0.255296,3.821,7,0.545857,0,0,457120
p3,t1,bola,1200,0,0.369505,9.31,13,0.716154,0,0,299033
p3,t1,dy,1301.12,6,0.363858,3.734,7,0.533429,100.708,118,348465
p3,t1,elastic,1749.99,56,0.217727,4.705,6,0.784167,12.9,24,416765
p3,t1,gd,1200,0,0.370197,3.593,7,0.513286,111.044,150,325666
p3,t1,kama,1200,0,0.364954,3.733,6,0.622167,116.835,144,325683
p3,t1,quetra,2004.43,27,0.2582,3.96,6,0.66,0,0,529767
p3,t1,ra,1964.97,25,0.252674,3.532,8,0.4415,0,0,516927
p3,t2,abr,2134.87,152,0.211896,4.069,3,1.35633,98.642,52,45314
p3,t2,ar,2449.09,19,0.175111,4.081,2,2.0405,1.359,2,263991
p3,t2,bba,2162.29,23,0.210101,3.746,2,1.873,0,0,226769
p3,t2,bola,1622,0,0.245121,12.122,10,1.2122,0,0,130736
p3,t2,dy,1858.4,2,0.248596,3.956,2,1.978,162.896,72,202194
p3,t2,elastic,1995.33,25,0.202702,3.754,3,1.25133,61.936,32,199476
p3,t2,gd,1622,0,0.259661,4.115,2,2.0575,165.268,72,174494
p3,t2,kama,1622,0,0.256736,3.947,2,1.9735,165.492,71,174168
p3,t2,quetra,2076.24,10,0.192694,3.316,2,1.658,34.569,15,222170
p3,t2,ra,2481.37,18,0.176833,3.97,3,1.32333,10.241,6,267313
p3,t3,abr,1912.59,162,0.290966,1.931,1,1.931,146.742,176,370988
p3,t3,ar,2570.98,28,0.194297,1.957,1,1.957,4.733,5,798320
p3,t3,bba,2255.8,39,0.195916,2.373,1,2.373,0,0,659011
