change,bitrate,buffer
0,1062,199.993333333
1,1232,187.895853659
2,1227,187.946618625
3,1227,187.946618625
4,1222,188.053203991
5,1222,188.08248337
6,1218,188.236463415
16,2427,0.0159053954176
17,2427,0.0675129342202
18,2429,0.0534183296378
19,2425,0.104183296378
20,2425,0.153684405026
21,2420,0.335258684405
22,2420,0.355480413895
23,2415,0.537686622321
24,2415,0.586555801922
25,2411,0.771289726534
26,2411,0.786456023651
27,2406,0.952232076866
28,2406,0.972453806356
29,2401,1.10220990392
30,2401,1.11084626755
31,2397,1.25661123429
32,2397,1.25239837398
33,2392,1.45293052476
34,2392,1.45419438285
35,2388,1.62671101256
36,2388,1.58795269771
37,2383,1.77395048041
38,2383,1.70064671101
39,2378,1.85883961567
40,2378,1.77395048041
41,2374,1.99596821877
42,2374,1.91150036955
43,2369,2.18238728751
44,2369,2.09876201035
