change,bitrate,buffer
0,315,1191.96507937
1,678,74.4142681265
2,918,62.0162904576
3,917,62.0280951546
4,917,62.0285491814
5,916,62.0403538784
6,916,62.0387647846
7,915,62.0537476692
8,915,62.0522720821
9,915,62.0672549668
10,915,62.0656658729
11,914,62.0764490096
12,914,62.0748599158
13,913,62.0875726664
14,913,62.0817838246
15,912,62.1018745109
16,912,62.0956316423
17,911,62.1157223285
18,911,62.1073228326
19,910,62.132294307
20,910,62.1220787038
21,909,62.1464826448
22,909,62.1319537869
23,908,62.1611250093
24,908,62.1476177118
25,907,62.1746323069
26,907,62.1564712346
27,907,62.1907502586
28,907,62.1716811326
29,906,62.2073222371
30,906,62.1882531111
31,905,62.2246887625
32,905,62.2053926231
33,904,62.2410337276
34,904,62.219921481
35,903,62.2603298669
36,903,62.2345638455
37,902,62.2805340599
38,902,62.2486386766
39,901,62.2984681188
40,901,62.2661187087
41,900,62.3175372447
42,900,62.2826906872
43,899,62.3341092232
44,899,62.2984681188
45,898,62.3513622419
46,898,62.3143590571
47,898,62.3697503276
48,898,62.3327471428
49,897,62.4215093838
50,897,62.4398974695
51,896,62.4237795178
52,896,62.4421676035
53,895,62.4260496518
54,895,62.4444377376
55,894,62.4283197859
56,894,62.4467078716
57,893,62.4305899199
58,893,62.4489780057
59,892,62.432860054
60,892,62.4512481397
61,891,62.451134633
62,891,62.4695227187
63,890,62.470544279
64,890,62.48427859
65,889,62.4885918447
66,889,62.5019856355
67,889,62.5066394103
68,889,62.5194656676
69,888,62.5251410027
70,888,62.5383077801
71,887,62.5414859678
72,887,62.5529501447
73,886,62.5613496406
74,886,62.5685005629
75,885,62.5769000588
76,885,62.5850725414
77,884,62.5887047558
78,884,62.5952881446
79,883,62.5969907451
80,883,62.6068658282
81,882,62.6093629756
82,882,62.6174219514
83,881,62.6192380587
84,881,62.6292266485
85,881,62.6294536619
86,881,62.6397827717
87,880,62.6410313455
88,880,62.6476147342
89,879,62.6488633079
90,879,62.6536305894
91,878,62.6548791631
92,878,62.6583978709
93,877,62.6559007234
94,877,62.6594194312
95,876,62.6569222837
96,876,62.6604409915
