change,bitrate,buffer
0,1570,174.401114206
1,3065,1.1602276856
2,3055,1.79134202629
3,3242,1.3789472725
4,3357,2.73931374117
5,3396,0.214856378389
6,3386,0.845970719083
7,3396,0.214856378389
8,3403,0.219317186902
9,3410,0.223777995414
10,3424,0.232699612439
11,3431,0.237160420952
12,3431,0.237160420952
13,3438,0.241621229465
14,3431,0.237160420952
15,3438,0.241621229465
16,3438,0.241621229465
17,3445,0.246082037977
18,3445,0.246082037977
19,3445,0.246082037977
20,3445,0.246082037977
21,3445,0.246082037977
22,3438,0.241621229465
23,3439,0.592864867912
24,3436,1.22844001712
25,3439,0.592864867912
26,3439,0.592864867912
27,3439,0.592864867912
28,3439,0.592864867912
29,3439,0.592864867912
30,3439,0.592864867912
31,3439,0.592864867912
32,3443,0.23827562308
33,3439,0.592864867912
34,3443,0.23827562308
35,3458,0.573906431734
36,3457,2.48509268787
37,3472,0.582828048759
38,3469,1.21840319797
39,3472,0.582828048759
40,3472,0.582828048759
41,3472,0.582828048759
42,3472,0.582828048759
43,3472,0.582828048759
44,3472,0.582828048759
45,3472,0.582828048759
46,3472,0.582828048759
47,3466,0.248312442233
48,3473,0.252773250746
49,3473,0.252773250746
50,3480,0.257234059258
51,3480,0.257234059258
52,3480,0.257234059258
53,3480,0.257234059258
54,3480,0.257234059258
55,3480,0.257234059258
56,3480,0.257234059258
57,3480,0.257234059258
58,3480,0.257234059258
59,3473,0.252773250746
60,3473,0.568330421093
61,3466,0.56386961258
62,3468,0.243851633721
63,3463,0.56386961258
64,3461,0.239390825208
65,3459,0.239390825208
66,3456,0.557178399812
67,3452,0.234930016696
68,3449,0.552717591299
69,3449,0.550487187043
70,3449,0.550487187043
71,3449,0.550487187043
72,3449,0.550487187043
73,3449,0.550487187043
74,3449,0.550487187043
75,3449,0.550487187043
76,3449,0.550487187043
77,3449,0.550487187043
78,3449,0.550487187043
79,3449,0.550487187043
80,3445,0.384902186972
81,3445,0.384902186972
82,3445,0.384902186972
83,3445,0.384902186972
84,3445,0.384902186972
85,3445,0.384902186972
86,3445,0.384902186972
87,3445,0.384902186972
88,3445,0.384902186972
89,3445,0.384902186972
90,3445,0.384902186972
91,3445,0.384902186972
92,3445,0.384902186972
93,3445,0.384902186972
94,3445,0.384902186972
95,3445,0.384902186972
96,3445,0.384902186972
97,3445,0.384902186972
98,3445,0.384902186972
99,3445,0.384902186972
100,3445,0.384902186972
101,3438,0.38044137846
102,3438,0.38044137846
103,3430,0.375980569947
104,3430,0.375980569947
105,3423,0.371519761435
106,3423,0.371519761435
107,3416,0.367058952922
108,3416,0.36817415505
109,3409,0.363713346538
110,3409,0.364828548666
111,3402,0.360367740153
112,3402,0.36259814441
113,3398,0.0381193570375
114,3395,0.358137335897
115,3391,0.349215718872
116,3391,0.349215718872
117,3387,0.0247369314999
118,3387,0.0247369314999
