profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p2,t2,quetra,3181.64,14,0.205866,0,0,0,0,0,386516
p2,t2,ra,3218.4,14,0.177101,0,0,0,0,0,388738
p2,t3,abr,1856.15,13,0.33342,1.489,1,1.489,150.977,189,580077
p2,t3,ar,3226.88,22,0.272138,0.944,1,0.944,0,0,1.01476e+06
p2,t3,bba,3246.43,58,0.313325,0.944,1,0.944,1.012,1,934575
p2,t3,bola,1198,0,0.474161,1.012,1,1.012,0,0,386502
p2,t3,dy,3081.85,34,0.413798,0.689,1,0.689,44.72,35,959636
p2,t3,elastic,3226.48,42,0.26677,8.13,2,4.065,0,0,958986
p2,t3,gd,2260.44,44,0.457103,0.991,1,0.991,111.847,51,672474
p2,t3,kama,2347.79,38,0.463668,0.998,1,0.998,180.882,151,706661
p2,t3,quetra,3279.87,20,0.268117,1.648,1,1.648,0,0,1.03395e+06
p2,t3,ra,3236.61,18,0.276622,0.99,1,0.99,0,0,1.02414e+06
p2,t4,abr,1591.08,8,0.379506,0,0,0,180.614,19,164952
p2,t4,ar,3364.59,14,0.209671,0,0,0,0,0,363305
p2,t4,bba,2908.49,23,0.263672,0,0,0,0,0,281454
p2,t4,bola,2289.26,3,0.344636,0,0,0,0,0,255572
p2,t4,dy,3116.67,23,0.368965,0,0,0,7.784,1,322777
p2,t4,elastic,2731.3,9,0.208283,0,0,0,2.77,0,300242
p2,t4,gd,3146.12,28,0.406277,0,0,0,64.494,9,321736
p2,t4,kama,2139.13,22,0.434902,0,0,0,139.217,7,210509
p2,t4,quetra,3018.17,10,0.295239,0,0,0,10.059,0,329953
p2,t4,ra,3074.59,11,0.233071,0,0,0,0,0,336886
p2,t5,abr,1840.57,2,0.437646,0.944,1,0.944,0,0,106401
p2,t5,ar,2612.68,6,0.472662,0,0,0,10.68,4,153373
p2,t5,bba,2398.65,6,0.490727,0,0,0,15.674,6,140402
p2,t5,bola,1838.13,2,0.436527,2.043,2,1.0215,0,0,103933
p2,t5,dy,2507.93,16,0.568625,0,0,0,15.379,6,139946
p2,t5,elastic,2438.13,6,0.337699,1.382,2,0.691,0,0,136829
p2,t5,gd,982.693,24,0.700753,0,0,0,31.945,10,42814.9
p2,t5,kama,2149.32,14,0.686243,0,0,0,50.94,19,119828
p2,t5,quetra,2593.83,6,0.489459,0,0,0,9.697,3,152355
p2,t5,ra,2597.04,6,0.478903,0,0,0,10.747,4,152474
p2,t6,abr,1752.19,39,0.350563,3.271,1,3.271,51.599,28,322006
p2,t6,ar,2701.17,86,0.465855,0,0,0,0,0,514442
p2,t6,bba,2613.46,26,0.350103,0,0,0,0,0,524189
p2,t6,bola,2530.78,14,0.295404,2.942,1,2.942,0,0,496663
p2,t6,dy,3682.03,130,0.553767,0,0,0,31.905,15,679161
p2,t6,elastic,2450.87,40,0.267917,3.09,1,3.09,0,0,458763
p2,t6,gd,2723.98,141,0.760337,0,0,0,94.681,42,480484
p2,t6,kama,2986.71,175,0.810363,0,0,0,134.337,67,510406
p2,t6,quetra,2562.44,75,0.421295,0,0,0,0,0,492634
p2,t6,ra,2747.67,32,0.34009,0,0,0,0,0,545023
p2,t7,abr,1920.01,35,0.353768,0,0,0,39.312,39,612050
p2,t7,ar,2682.7,23,0.307198,0,0,0,0,0,881457
p2,t7,bba,2493.17,28,0.391475,0,0,0,8.423,14,810633
p2,t7,bola,2571.95,11,0.287041,0,0,0,0,0,852569
p2,t7,dy,2320.93,85,0.47164,0,0,0,26.275,21,708109
p2,t7,elastic,2489.41,41,0.255322,0,0,0,0,0,798196
p2,t7,gd,1042.76,77,0.725709,0,0,0,210.577,170,289379
p2,t7,kama,2261.42,113,0.690591,0,0,0,137.155,118,668298
p2,t7,quetra,2670.91,25,0.302809,0,0,0,0,0,876223
p2,t7,ra,2664.43,21,0.294456,0,0,0,0,0,875877
p3,t1,abr,1330.26,10,0.32994,4.629,7,0.661286,29.967,44,351217
p3,t1,ar,1857.74,19,0.282344,3.998,6,0.666333,0,0,492109
p3,t1,bba,1832.87,27,0.310598,3.533,8,0.441625,0,0,486719
p3,t1,bola,1831.27,8,0.267039,4.625,6,0.770833,0,0,499668
p3,t1,dy,1795.68,2,0.391625,4.094,8,0.51175,63.716,63,495592
p3,t1,elastic,1827.57,53,0.267902,4.496,8,0.562,0,0,439579
p3,t1,gd,1250.21,4,0.383749,3.827,5,0.7654,58.73,58,332876
p3,t1,kama,1200,0,0.389119,4.297,6,0.716167,62.895,66,318869
p3,t1,quetra,1860.76,19,0.274043,3.894,6,0.649,0,0,498935
p3,t1,ra,1794.16,20,0.29217,3.774,8,0.47175,0,0,477474
p3,t2,abr,1689.76,4,0.227745,4.776,3,1.592,86.63,39,171718
p3,t2,ar,2249.3,10,0.222806,3.668,2,1.834,0,0,244707
p3,t2,bba,2104.98,19,0.234865,4.161,2,2.0805,0,0,219345
p3,t2,bola,2147.87,5,0.238771,5.04,3,1.68,0,0,228371
p3,t2,dy,1622,0,0.253525,3.774,2,1.887,105.936,3,174837
p3,t2,elastic,2097.7,31,0.181991,3.926,2,1.963,15.124,8,204880
p3,t2,gd,1622,0,0.258279,4.175,2,2.0875,116.15,48,173312
p3,t2,kama,1622,0,0.254715,3.907,2,1.9535,119.176,48,171384
