profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p1,t1,abr,1784.4,8,0.312697,0.712,1,0.712,0,0
p1,t1,ar,2993.37,30,0.430847,0,0,0,0,0
p1,t1,bba,2189.01,25,0.51853,0,0,0,0,0
p1,t1,bola,3007.47,6,0.317486,0,0,0,0,0
p1,t1,dy,3011.08,26,0.508967,0,0,0,0,0
p1,t1,elastic,2732.58,26,0.301122,0.993,1,0.993,0,0
p1,t1,gd,2026.47,22,0.478565,0,0,0,0,0
p1,t1,kama,1461.47,16,0.552995,0,0,0,58.688,8
p1,t1,quetra,3067.45,28,0.437248,0,0,0,0,0
p1,t1,ra,2972.11,20,0.428796,0,0,0,0,0
p1,t2,abr,2023.57,10,0.261874,0,0,0,33.592,1
p1,t2,ar,3344.53,14,0.361288,0,0,0,0,0
p1,t2,bba,3080.28,16,0.438686,0,0,0,0,0
p1,t2,bola,3245.98,6,0.281371,0,0,0,0,0
p1,t2,dy,2381.39,22,0.388445,0,0,0,0,0
p1,t2,elastic,3051.55,14,0.226956,0,0,0,0,0
p1,t2,gd,2288.68,30,0.435951,0,0,0,31.703,1
p1,t2,kama,2013.59,10,0.421011,0,0,0,78.007,1
p1,t2,quetra,3390.56,12,0.354004,0,0,0,0,0
p1,t2,ra,3371.28,14,0.36253,0,0,0,0,0
p1,t3,abr,1659.68,8,0.338159,0.635,2,0.3175,68.043,80
p1,t3,ar,3310.42,18,0.485556,0,0,0,0,0
p1,t3,bba,3220.05,36,0.506683,0,0,0,0,0
p1,t3,bola,3078.48,6,0.384275,0,0,0,0,0
p1,t3,dy,2339,34,0.578256,0,0,0,0,0
p1,t3,elastic,3171.92,22,0.300067,0,0,0,0,0
p1,t3,gd,1927.15,36,0.568694,0,0,0,61.489,5
p1,t3,kama,1514.77,14,0.535083,0,0,0,151.197,16
p1,t3,quetra,3333.97,18,0.475579,0,0,0,0,0
p1,t3,ra,3390.22,20,0.457818,0,0,0,0,0
p1,t4,abr,1576.46,8,0.382409,0,0,0,73.574,7
p1,t4,ar,3416.56,16,0.425266,0,0,0,0,0
p1,t4,bba,2364.49,13,0.438936,0,0,0,0,0
p1,t4,bola,2897.21,6,0.335417,0,0,0,0,0
p1,t4,dy,3564.22,24,0.507704,0,0,0,0,0
p1,t4,elastic,2241,7,0.260757,0,0,0,0,0
p1,t4,gd,2315.43,26,0.521989,0,0,0,4.066,0
p1,t4,kama,1316.88,6,0.616706,0,0,0,177.831,3
p1,t4,quetra,2399.4,12,0.436513,0,0,0,0,0
p1,t4,ra,3447.1,14,0.389372,0,0,0,0,0
p1,t5,abr,1390.39,6,0.409138,0,0,0,0,0
p1,t5,ar,2878.11,8,0.616803,0,0,0,0,0
p1,t5,bba,1842.61,7,0.794272,0,0,0,0,0
p1,t5,bola,1753.6,9,0.332722,0,0,0,0,0
p1,t5,dy,2838.82,10,0.657536,0,0,0,0,0
p1,t5,elastic,1580.48,8,0.385897,0,0,0,0,0
p1,t5,gd,2807.77,18,0.64158,0,0,0,0,0
p1,t5,kama,354.067,6,0.912456,0,0,0,0,0
p1,t5,quetra,2877.59,8,0.653682,0,0,0,0,0
p1,t5,ra,2877.72,8,0.663213,0,0,0,0,0
p1,t6,abr,1730.74,55,0.464776,3.413,1,3.413,14.084,5
p1,t6,ar,3192.37,36,0.415714,0,0,0,0,0
p1,t6,bba,2556.4,25,0.503344,0,0,0,0,0
p1,t6,bola,2591.72,21,0.291622,3.606,1,3.606,0,0
p1,t6,dy,1657.69,88,0.621081,0,0,0,0.102,1
p1,t6,elastic,2281.94,41,0.318284,3.918,1,3.918,0,0
p1,t6,gd,1957.48,102,0.781788,0,0,0,92.417,43
p1,t6,kama,2279.78,122,0.884837,0,0,0,102.213,42
p1,t6,quetra,3157.25,36,0.402205,0,0,0,0,0
p1,t6,ra,3291.43,54,0.423818,0,0,0,0,0
p1,t7,abr,2523.29,30,0.380451,0.61,1,0.61,0,0
p1,t7,ar,2696.28,22,0.372343,0,0,0,0,0
p1,t7,bba,2289.36,9,0.511806,0,0,0,0,0
p1,t7,bola,2664,18,0.271449,0.68,1,0.68,0,0
p1,t7,dy,2743.98,90,0.578982,0,0,0,0,0
p1,t7,elastic,2474.55,58,0.324988,1.304,1,1.304,0,0
p1,t7,gd,1540.65,80,0.714958,0,0,0,45.77,36
p1,t7,kama,2440.01,110,0.766419,0,0,0,107.928,76
p1,t7,quetra,2689.84,18,0.351785,0,0,0,0,0
p1,t7,ra,2698.3,26,0.382944,0,0,0,0,0
