profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p2,t1,abr,2136.97,11,0.317472,0,0,0,0,0
p2,t1,ar,2621.3,19,0.37339,0.574,1,0.574,0,0
p2,t1,bba,2815.8,4,0.447076,0,0,0,0,0
p2,t1,bola,2879.81,5,0.303534,0,0,0,0,0
p2,t1,dy,1911.14,30,0.44792,0,0,0,0,0
p2,t1,elastic,2444.78,21,0.305441,0,0,0,0,0
p2,t1,gd,3021.84,20,0.505597,0.518,1,0.518,0,0
p2,t1,kama,1394.22,12,0.563595,0.507,1,0.507,65.527,69
p2,t1,quetra,2401.34,24,0.370432,0,0,0,0,0
p2,t1,ra,2626.82,19,0.370129,0.746,1,0.746,0,0
p2,t2,abr,2282.76,7,0.274942,0,0,0,32.666,2
p2,t2,ar,2851.4,11,0.276021,0,0,0,0,0
p2,t2,bba,3093.53,4,0.351072,0,0,0,6.313,0
p2,t2,bola,2248.34,1,0.316141,0,0,0,0,0
p2,t2,dy,3225.46,24,0.348515,0,0,0,0,0
p2,t2,elastic,2618.51,11,0.232073,0,0,0,0,0
p2,t2,gd,3025.84,26,0.37807,0,0,0,50.715,2
p2,t2,kama,2697.46,10,0.460944,0,0,0,130.623,12
p2,t2,quetra,2864.86,11,0.273811,0,0,0,0,0
p2,t2,ra,2852.69,13,0.280584,0,0,0,0,0
p2,t3,abr,1962.55,13,0.363256,1.469,1,1.469,64.616,20
p2,t3,ar,2737,15,0.307698,0.988,1,0.988,0,0
p2,t3,bba,3255.34,36,0.426148,1.078,1,1.078,2.994,2
p2,t3,bola,1198,0,0.472123,0.728,1,0.728,0,0
p2,t3,dy,3296.96,22,0.468569,1.237,1,1.237,11.845,11
p2,t3,elastic,3154.8,62,0.298359,2.578,2,1.289,0,0
p2,t3,gd,1990.75,24,0.457321,0.925,1,0.925,46.877,34
p2,t3,kama,1489.29,20,0.500161,1.014,1,1.014,144.831,132
p2,t3,quetra,2738.79,15,0.31289,0.724,1,0.724,0,0
p2,t3,ra,2746.07,17,0.324309,0.896,1,0.896,0,0
p2,t4,abr,1763.98,5,0.390573,0,0,0,78.695,4
p2,t4,ar,2949.34,9,0.295311,0,0,0,0,0
p2,t4,bba,3221.37,16,0.394264,0,0,0,0,0
p2,t4,bola,2872.66,5,0.294352,0,0,0,0,0
p2,t4,dy,3431.39,20,0.419392,0,0,0,0,0
p2,t4,elastic,3149.2,22,0.274957,0,0,0,0,0
p2,t4,gd,1916.18,24,0.484957,0,0,0,48.214,3
p2,t4,kama,2940.33,10,0.482142,0,0,0,87.706,2
p2,t4,quetra,3412.47,8,0.340494,0,0,0,0,0
p2,t4,ra,3423.61,6,0.30133,0,0,0,0,0
p2,t5,abr,1840.93,4,0.434025,1.145,1,1.145,0,0
p2,t5,ar,2419.9,8,0.58574,0,0,0,0,0
p2,t5,bba,1597.72,7,0.701446,0,0,0,0,0
p2,t5,bola,1839.93,4,0.430616,1.323,1,1.323,0,0
p2,t5,dy,755.206,18,0.694133,0,0,0,0,0
p2,t5,elastic,2425.53,4,0.332872,1.307,1,1.307,0,0
p2,t5,gd,651.216,12,0.701954,0,0,0,0,0
p2,t5,kama,353.332,4,0.798929,0,0,0,0,0
p2,t5,quetra,2465.94,8,0.606063,0,0,0,0,0
p2,t5,ra,2408.26,8,0.587543,0,0,0,0,0
p2,t6,abr,2100.46,32,0.388533,3.265,1,3.265,0,0
p2,t6,ar,2392.88,29,0.407298,0,0,0,0,0
p2,t6,bba,2506.91,23,0.817276,0,0,0,0,0
p2,t6,bola,2534.43,19,0.300222,3.314,1,3.314,0,0
p2,t6,dy,4207.68,103,0.705466,0,0,0,15.037,9
p2,t6,elastic,1803.26,36,0.325403,3.279,1,3.279,0,0
p2,t6,gd,3934.76,87,0.779479,0,0,0,84.095,39
p2,t6,kama,4101.19,123,0.820731,0,0,0,115.104,45
p2,t6,quetra,2429.11,27,0.39511,0,0,0,0,0
p2,t6,ra,2452.05,32,0.400933,0,0,0,0,0
p2,t7,abr,2303.46,33,0.405953,0,0,0,0,0
p2,t7,ar,2623.69,18,0.370708,0,0,0,0,0
p2,t7,bba,2641.27,18,0.501466,0,0,0,0,0
p2,t7,bola,2585.79,16,0.282319,0,0,0,0,0
p2,t7,dy,2404.17,75,0.544079,0,0,0,0.361,1
p2,t7,elastic,2150.94,43,0.331318,0,0,0,0,0
p2,t7,gd,2408.78,68,0.712582,0,0,0,101.09,81
p2,t7,kama,2434.85,88,0.736541,0,0,0,94.58,78
p2,t7,quetra,2440.94,17,0.351336,0,0,0,0,0
p2,t7,ra,2448.09,27,0.363865,0,0,0,0,0
p3,t1,abr,1343.42,12,0.323575,4.781,7,0.683,0,0
p3,t1,ar,1809,15,0.353746,3.855,8,0.481875,0,0
p3,t1,bba,1713.18,5,0.33875,3.762,7,0.537429,0,0
p3,t1,bola,1853.02,10,0.25817,4.877,7,0.696714,0,0
p3,t1,dy,1220.17,4,0.430278,3.908,8,0.4885,18.366,20
p3,t1,elastic,1364.65,26,0.323176,4.539,7,0.648429,0,0
p3,t1,gd,1200,0,0.436905,3.942,8,0.49275,20.629,1
p3,t1,kama,1278.76,4,0.432836,3.973,10,0.3973,13.131,14
p3,t1,quetra,1782.01,15,0.332266,3.875,6,0.645833,0,0
p3,t1,ra,1825.01,11,0.349377,3.567,8,0.445875,0,0
p3,t2,abr,1699.53,4,0.220358,4.06,2,2.03,0,0
p3,t2,ar,2141.92,7,0.20894,4.027,2,2.0135,0,0
p3,t2,bba,2059.51,11,0.228712,3.931,2,1.9655,0,0
p3,t2,bola,2129.93,3,0.231795,4.969,2,2.4845,0,0
p3,t2,dy,1622,0,0.311778,4.183,2,2.0915,45.514,14
p3,t2,elastic,1954.37,15,0.202232,4.044,3,1.348,0,0
p3,t2,gd,1622,0,0.307369,3.851,2,1.9255,46.784,14
p3,t2,kama,1622,0,0.307298,4.138,2,2.069,46.712,14
p3,t2,quetra,2114.1,14,0.217145,3.938,2,1.969,0,0
p3,t2,ra,2037.84,12,0.222509,3.833,2,1.9165,0,0
p3,t3,abr,1321.73,22,0.299722,1.921,2,0.9605,73.09,73
p3,t3,ar,2711.96,18,0.289407,1.969,1,1.969,0,0
p3,t3,bba,1967.64,19,0.331813,1.95,1,1.95,0,0
p3,t3,bola,2154.28,5,0.219575,3.218,2,1.609,0,0
p3,t3,dy,1232.34,4,0.381642,1.937,1,1.937,109.747,96
p3,t3,elastic,2180.25,53,0.207842,3.117,2,1.5585,0,0
p3,t3,gd,1198,0,0.38664,2.191,1,2.191,111.902,96
p3,t3,kama,1240.34,4,0.380881,1.676,2,0.838,108.371,91
p3,t3,quetra,2711.5,28,0.300997,1.908,2,0.954,0,0
p3,t3,ra,2651.92,14,0.270898,1.841,2,0.9205,0,0
p3,t4,abr,1305.21,10,0.300885,0,0,0,45,3
p3,t4,ar,2799.21,10,0.26144,0,0,0,0,0
p3,t4,bba,1840.27,11,0.361704,0,0,0,0,0
p3,t4,bola,1745.38,1,0.249373,0,0,0,0,0
p3,t4,dy,1143,0,0.376658,0,0,0,114.411,1
p3,t4,elastic,1619.27,22,0.237448,0,0,0,0,0
p3,t4,gd,1143,0,0.378762,0,0,0,114.014,4
p3,t4,kama,1262.71,4,0.370549,0,0,0,95.085,1
p3,t4,quetra,2232.11,11,0.297029,0,0,0,0,0
p3,t4,ra,1987.74,8,0.269515,0,0,0,0,0
p3,t5,abr,855.364,17,0.391478,0,0,0,0,0
p3,t5,ar,2084.62,14,0.583309,0,0,0,0,0
p3,t5,bba,872.661,6,0.671217,0,0,0,0,0
p3,t5,bola,1495.83,13,0.384744,0,0,0,0,0
p3,t5,dy,842.445,12,0.725681,0,0,0,0,0
p3,t5,elastic,1071.6,24,0.355184,10.049,4,2.51225,0,0
p3,t5,gd,484.723,10,0.755605,0,0,0,0,0
p3,t5,kama,357.28,4,0.770881,0,0,0,0,0
p3,t5,quetra,2029.36,10,0.538773,0,0,0,0,0
p3,t5,ra,970.868,8,0.543174,0,0,0,0,0
p3,t6,abr,1043.21,63,0.38328,0,0,0,0,0
p3,t6,ar,2094.96,77,0.418234,0,0,0,0,0
p3,t6,bba,1655.75,22,0.439044,0,0,0,0,0
p3,t6,bola,1518.77,36,0.286365,0,0,0,0,0
p3,t6,dy,2860.08,136,0.788265,0,0,0,20.38,11
p3,t6,elastic,1453.65,120,0.340669,2.445,1,2.445,0,0
p3,t6,gd,850.698,30,0.81725,0,0,0,190.934,78
p3,t6,kama,1835.96,92,0.809754,0,0,0,98.998,38
p3,t6,quetra,1921.46,58,0.41578,0,0,0,0,0
p3,t6,ra,2005.17,55,0.416042,0,0,0,0,0
p3,t7,abr,957.326,47,0.464561,0,0,0,19.75,18
p3,t7,ar,1676.28,42,0.448945,0,0,0,0,0
p3,t7,bba,1449.67,8,0.584611,0,0,0,0,0
p3,t7,bola,1703.21,16,0.321373,0,0,0,0,0
p3,t7,dy,1269.57,84,0.733798,0,0,0,84.277,66
p3,t7,elastic,1909.66,76,0.338418,0.9,1,0.9,0,0
p3,t7,gd,476.363,28,0.76737,0,0,0,188.331,149
p3,t7,kama,881.955,74,0.760034,0,0,0,120.342,99
p3,t7,quetra,1663.14,38,0.41608,0,0,0,0,0
p3,t7,ra,1658.69,44,0.444764,0,0,0,0,0
p4,t1,abr,1200,0,0.153942,62.042,34,1.82476,0,0
p4,t1,ar,1200,0,0.152381,64.007,41,1.56115,0,0
p4,t1,bba,1200,0,0.147861,63.991,40,1.59977,0,0
p4,t1,bola,1200,0,0.15503,62.477,32,1.95241,0,0
p4,t1,dy,1200,0,0.145764,63.957,37,1.72857,0,0
p4,t1,elastic,1200,0,0.147094,62.541,36,1.73725,0,0
p4,t1,gd,1200,0,0.150655,63.246,41,1.54259,0,0
p4,t1,kama,1200,0,0.155258,63.69,41,1.55341,0,0
p4,t1,quetra,1200,0,0.146506,63.612,41,1.55151,0,0
p4,t1,ra,1200,0,0.146798,63.878,40,1.59695,0,0
p4,t2,abr,1622,0,0.122225,52.267,21,2.4889,0,0
p4,t2,ar,1622,0,0.159564,52.834,21,2.5159,0,0
p4,t2,bba,1622,0,0.205573,52.459,21,2.49805,0,0
p4,t2,bola,1622,0,0.156206,51.947,20,2.59735,0,0
p4,t2,dy,1622,0,0.188843,52.517,20,2.62585,0,0
p4,t2,elastic,1622,0,0.119226,52.159,22,2.37086,0,0
p4,t2,gd,1622,0,0.176659,52.578,20,2.6289,0,0
p4,t2,kama,1622,0,0.185282,52.449,19,2.76047,0,0
p4,t2,quetra,1622,0,0.1578,52.548,20,2.6274,0,0
p4,t2,ra,1622,0,0.186388,52.531,21,2.50148,0,0
p4,t3,abr,1198,0,0.107671,2.132,4,0.533,0,0
p4,t3,ar,1482.46,9,0.123016,4.858,5,0.9716,0,0
p4,t3,bba,1525.82,23,0.122355,5.014,5,1.0028,0,0
p4,t3,bola,1281,1,0.157801,1.504,5,0.3008,0,0
p4,t3,dy,1198,0,0.124774,4.896,5,0.9792,0,0
p4,t3,elastic,1447.09,3,0.127436,3.871,5,0.7742,0,0
p4,t3,gd,1198,0,0.120731,4.98,5,0.996,0,0
p4,t3,kama,1198,0,0.128417,5.465,6,0.910833,0,0
p4,t3,quetra,1475.13,9,0.108879,4.65,3,1.55,0,0
p4,t3,ra,1462.15,5,0.11083,4.693,5,0.9386,0,0
p4,t4,abr,1143,0,0.115572,0,0,0,0,0
p4,t4,ar,1369.68,5,0.142236,2.441,2,1.2205,0,0
p4,t4,bba,1384.36,15,0.125936,2.84,2,1.42,0,0
p4,t4,bola,1143,0,0.129197,0,0,0,0,0
p4,t4,dy,1143,0,0.122467,2.643,2,1.3215,0,0
p4,t4,elastic,1143,0,0.125932,0.577,1,0.577,0,0
p4,t4,gd,1143,0,0.119333,2.849,2,1.4245,0,0
p4,t4,kama,1143,0,0.115535,2.607,2,1.3035,0,0
p4,t4,quetra,1370.97,5,0.140222,3.153,2,1.5765,0,0
p4,t4,ra,1369.86,5,0.152003,2.61,2,1.305,0,0
p4,t5,abr,744.809,16,0.384774,19.729,3,6.57633,0,0
p4,t5,ar,485.849,5,0.499714,0,0,0,0,0
p4,t5,bba,486.092,5,0.514425,0,0,0,0,0
p4,t5,bola,814.067,10,0.295525,21.896,3,7.29867,0,0
p4,t5,dy,353.281,4,0.531418,0,0,0,0,0
p4,t5,elastic,606.198,21,0.374379,9.786,2,4.893,0,0
p4,t5,gd,354.284,4,0.545607,0,0,0,0,0
p4,t5,kama,353.5,4,0.545409,0,0,0,0,0
p4,t5,quetra,513.659,9,0.508734,0,0,0,0,0
p4,t5,ra,487.116,5,0.502006,0,0,0,0,0
p4,t6,abr,598.847,64,0.370689,1.222,1,1.222,0,0
p4,t6,ar,982.977,39,0.382417,0,0,0,0,0
p4,t6,bba,972.85,41,0.367509,0,0,0,0,0
p4,t6,bola,950.044,42,0.292626,1.572,1,1.572,0,0
p4,t6,dy,1613.43,48,0.657183,0,0,0,94.388,39
p4,t6,elastic,896.123,95,0.349982,6.039,4,1.50975,0,0
p4,t6,gd,255.754,6,0.66852,0,0,0,150.705,66
p4,t6,kama,2403.42,60,0.670776,0,0,0,33.907,16
p4,t6,quetra,1004.4,45,0.375532,0,0,0,0,0
p4,t6,ra,1003.07,53,0.383839,0,0,0,0,0
p4,t7,abr,490.915,24,0.407699,0,0,0,0,0
p4,t7,ar,1091.05,38,0.443284,0,0,0,0,0
p4,t7,bba,1011.35,28,0.439118,0,0,0,0,0
p4,t7,bola,843.693,10,0.359406,0,0,0,0,0
p4,t7,dy,555.55,24,0.626717,0,0,0,75.925,66
p4,t7,elastic,1002.82,70,0.367335,0,0,0,0,0
p4,t7,gd,1761.21,24,0.642644,0,0,0,70.106,60
p4,t7,kama,1753.26,26,0.639475,0,0,0,67.427,60
p4,t7,quetra,1437.28,44,0.454975,0,0,0,0,0
p4,t7,ra,1070.6,28,0.45407,0,0,0,0,0
