change,bitrate,buffer
0,2133,8.21857603282
1,2798,34.7843249931
2,2974,11.9021635826
3,2998,9.4165323941
4,2994,9.64354579813
5,3006,8.735492182
6,3014,8.49708989569
7,3010,8.39497207595
8,3069,10.6446236792
9,3070,9.55511218814
10,3090,8.39739477699
11,3086,8.62440818102
12,3097,9.05565722455
13,3101,8.23845991945
14,3101,8.7151371185
15,3134,8.6971700011
16,3130,8.92418340514
17,3130,8.92418340514
18,3134,8.22049280206
19,3138,8.35664989505
20,3134,8.58366329909
21,3151,8.22530344921
22,3154,8.32742126895
23,3155,8.54798381143
24,3181,8.67111180774
25,3181,8.67111180774
26,3177,8.89812521177
27,3177,8.89812521177
28,3185,8.33059170168
29,3185,8.33059170168
30,3181,8.55760510572
31,3181,8.55760510572
32,3185,8.33059170168
33,3185,8.33059170168
34,3185,8.33059170168
35,3185,8.33059170168
36,3185,8.33059170168
37,3185,8.33059170168
38,3185,8.33059170168
39,3185,8.33059170168
40,3185,8.33059170168
41,3185,8.33059170168
42,3185,8.33059170168
43,3185,8.33059170168
44,3185,8.33059170168
45,3185,8.33059170168
46,3185,8.33059170168
47,3185,8.33059170168
48,3185,8.33059170168
49,3185,8.33059170168
50,3185,8.33059170168
51,3181,8.55760510572
52,3181,8.55760510572
53,3177,8.78461850975
54,3177,8.78461850975
55,3173,9.01163191379
56,3173,9.01163191379
57,3172,8.25770250804
58,3172,8.37120921006
59,3172,8.37120921006
60,3172,8.37120921006
61,3172,8.37120921006
62,3172,8.37120921006
63,3172,8.37120921006
64,3168,8.59822261409
65,3168,8.59822261409
66,3164,8.53014406759
67,3164,8.82523601813
68,3164,8.53014406759
69,3160,8.75715747163
70,3160,8.75715747163
71,3156,8.98417087566
72,3156,8.4620655211
73,3152,8.68907892513
74,3152,8.68907892513
75,3148,8.91609232916
76,3148,8.91609232916
77,3144,9.1431057332
78,3144,9.1431057332
79,3140,9.37011913723
80,3140,9.37011913723
81,3136,9.59713254127
82,3136,9.59713254127
83,3132,9.8241459453
84,3132,9.8241459453
85,3128,10.0511593493
86,3128,10.0511593493
87,3124,10.2781727534
88,3124,10.2781727534
89,3120,10.5051861574
90,3120,10.5051861574
91,3117,10.7321995614
92,3117,10.7321995614
93,3113,10.9592129655
94,3113,10.9592129655
95,3109,11.1862263695
96,3109,11.1862263695
97,3105,11.4132397735
98,3105,11.4132397735
99,3101,11.6402531776
100,3101,11.6402531776
101,3097,11.8672665816
102,3097,11.8672665816
103,3093,12.2077866877
104,3093,12.2077866877
105,3089,12.5483067937
106,3089,12.5483067937
107,3085,12.8888268998
108,3085,12.8888268998
109,3081,13.2293470058
110,3081,13.2293470058
111,3077,13.5698671119
112,3077,13.5698671119
113,3073,13.9103872179
114,3073,13.9103872179
115,3069,14.250907324
116,3069,14.250907324
117,3065,14.59142743
118,3065,14.59142743
119,3061,14.9319475361
120,3061,14.9319475361
121,3057,15.2724676421
122,3057,15.2724676421
123,3053,15.6129877482
124,3053,15.6129877482
125,3049,15.9535078542
126,3049,15.9535078542
127,3045,16.2940279603
128,3045,16.2940279603
129,3041,16.6345480663
130,3041,16.6345480663
131,3037,16.9750681724
132,3037,16.9750681724
133,3033,17.4290949804
134,3033,17.4290949804
135,3029,17.8831217885
136,3029,17.8831217885
137,3025,18.3371485966
138,3025,18.3371485966
139,3021,18.7911754046
140,3021,18.7911754046
141,3017,19.2452022127
142,3017,19.2452022127
143,3013,19.6992290208
144,3013,19.6992290208
145,3009,20.1532558288
146,3009,20.1532558288
147,3005,20.6072826369
