change,bitrate,buffer
0,1587,117.731568998
1,2028,124.134798994
2,2026,124.310695644
3,2026,124.310695644
4,2050,117.873936338
5,2049,118.049832987
6,2058,118.132292802
7,2057,118.308189451
8,2058,117.959140408
9,2056,118.135037057
10,2056,118.135037057
11,2058,118.00311457
12,2059,117.783243759
13,2059,117.827217921
14,2059,117.783243759
15,2058,117.959140408
16,2058,117.959140408
17,2059,117.827217921
18,2059,117.783243759
19,2059,117.827217921
20,2058,118.00311457
21,2058,118.00311457
22,2059,117.783243759
23,2059,117.827217921
24,2058,118.00311457
25,2058,118.00311457
26,2059,117.783243759
27,2059,117.827217921
28,2058,118.00311457
29,2058,118.00311457
30,2059,117.827217921
31,2059,117.783243759
32,2059,117.827217921
33,2058,118.00311457
34,2058,118.00311457
35,2059,117.783243759
36,2059,117.827217921
37,2058,118.00311457
38,2058,118.00311457
39,2056,118.179011219
40,2056,118.179011219
41,2056,117.742013851
42,2056,117.742013851
43,2056,117.742013851
44,2056,117.742013851
45,2056,117.742013851
46,2056,117.742013851
47,2054,117.9179105
48,2054,117.9179105
49,2053,118.093807149
50,2053,118.093807149
51,2052,118.269703798
52,2052,118.269703798
53,2050,118.445600448
54,2050,118.445600448
55,2049,118.621497097
56,2049,118.621497097
57,2047,118.797393746
58,2047,118.797393746
59,2046,118.973290395
60,2046,118.973290395
61,2045,119.149187044
62,2045,119.149187044
63,2043,119.325083693
64,2043,119.325083693
65,2042,119.500980342
66,2042,119.500980342
67,2041,119.676876991
68,2041,119.676876991
69,2039,119.85277364
70,2039,119.85277364
71,2038,120.028670289
72,2038,120.028670289
73,2036,120.204566938
74,2036,120.204566938
75,2035,120.380463587
76,2035,120.380463587
77,2034,120.644308561
78,2034,120.644308561
79,2032,120.908153534
80,2032,120.908153534
81,2031,121.171998508
82,2031,121.171998508
83,2029,121.435843482
84,2029,121.435843482
85,2028,121.699688455
86,2028,121.699688455
87,2027,121.963533429
88,2027,121.963533429
89,2025,122.227378402
90,2025,122.227378402
91,2024,122.491223376
92,2024,122.491223376
93,2023,122.75506835
94,2023,122.75506835
95,2021,123.018913323
96,2021,123.018913323
97,2020,123.282758297
98,2020,123.282758297
99,2018,123.54660327
100,2018,123.54660327
101,2017,123.810448244
102,2017,123.810448244
103,2016,124.074293218
104,2016,124.074293218
105,2014,124.338138191
106,2014,124.338138191
107,2013,124.689931489
108,2013,124.689931489
109,2011,125.041724787
110,2011,125.041724787
111,2010,125.393518085
112,2010,125.393518085
113,2009,125.745311384
114,2009,125.745311384
115,2007,126.097104682
116,2007,126.097104682
117,2006,126.44889798
118,2006,126.44889798
119,2005,126.800691278
120,2005,126.800691278
121,2003,127.152484576
122,2003,127.152484576
123,2002,127.504277874
124,2002,127.504277874
125,2000,127.856071172
126,2000,127.856071172
127,1999,128.207864471
128,1999,128.207864471
129,1998,128.559657769
130,1998,128.559657769
131,1996,128.911451067
132,1996,128.911451067
133,1995,129.263244365
134,1995,129.263244365
135,1994,129.615037663
136,1994,129.615037663
137,1992,130.054779286
138,1992,130.054779286
139,1991,130.494520908
140,1991,130.494520908
141,1989,130.934262531
142,1989,130.934262531
143,1988,131.374004154
144,1988,131.374004154
145,1987,131.813745776
146,1987,131.813745776
147,1985,132.253487399
148,1985,132.253487399
149,1984,132.693229022
150,1984,132.693229022
151,1982,133.132970644
152,1982,133.132970644
153,1981,133.572712267
154,1981,133.572712267
155,1980,134.01245389
156,1980,134.01245389
157,1978,134.452195512
158,1978,134.452195512
159,1977,134.891937135
160,1977,134.891937135
161,1976,135.331678758
162,1976,135.331678758
163,1974,135.77142038
164,1974,135.77142038
165,1973,136.211162003
166,1973,136.211162003
167,1971,136.562955301
168,1971,136.562955301
169,1970,136.914748599
170,1970,136.914748599
171,1969,137.266541897
172,1969,137.266541897
173,1967,137.618335195
174,1967,137.618335195
175,1966,137.970128493
176,1966,137.970128493
177,1964,138.321921792
178,1964,138.321921792
179,1963,138.67371509
180,1963,138.67371509
181,1962,139.025508388
182,1962,139.025508388
183,1960,139.377301686
184,1960,139.377301686
185,1959,139.729094984
186,1959,139.729094984
187,1958,140.080888282
188,1958,140.080888282
189,1956,140.43268158
190,1956,140.43268158
191,1955,140.784474878
192,1955,140.784474878
193,1953,141.136268177
194,1953,141.136268177
195,1952,141.488061475
196,1952,141.488061475
197,1951,141.751906448
198,1951,141.751906448
199,1949,142.015751422
200,1949,142.015751422
201,1948,142.279596396
202,1948,142.279596396
203,1946,142.543441369
204,1946,142.543441369
205,1945,142.807286343
206,1945,142.807286343
207,1944,143.071131316
208,1944,143.071131316
209,1942,143.33497629
210,1942,143.33497629
211,1941,143.598821264
212,1941,143.598821264
213,1940,143.862666237
214,1940,143.862666237
215,1938,144.126511211
216,1938,144.126511211
217,1937,144.390356184
218,1937,144.390356184
219,1935,144.654201158
220,1935,144.654201158
221,1934,144.918046131
222,1934,144.918046131
223,1933,145.181891105
224,1933,145.181891105
225,1931,145.445736079
226,1931,145.445736079
227,1930,145.621632728
228,1930,145.621632728
229,1928,145.797529377
230,1928,145.797529377
231,1927,145.973426026
232,1927,145.973426026
233,1926,146.149322675
234,1926,146.149322675
235,1924,146.325219324
236,1924,146.325219324
237,1923,146.501115973
238,1923,146.501115973
239,1922,146.63303846
