change,bitrate,buffer
0,2102,110.666983825
1,2099,111.50376028
2,2099,111.50376028
3,2096,112.340536736
4,2096,112.340536736
5,2093,113.177313192
6,2093,113.177313192
7,2091,114.014089647
8,2091,114.014089647
9,2088,114.850866103
10,2088,114.850866103
11,2085,115.687642558
12,2085,115.687642558
13,2083,116.524419014
14,2083,116.524419014
15,2080,117.361195469
16,2080,117.361195469
17,2077,118.197971925
18,2077,118.197971925
19,2075,119.034748381
20,2075,119.034748381
21,2072,119.871524836
22,2072,119.871524836
23,2069,120.708301292
24,2069,120.708301292
25,2067,121.545077747
26,2067,121.545077747
27,2064,122.381854203
28,2064,122.381854203
29,2061,123.218630658
30,2061,123.218630658
31,2059,123.846213
32,2059,123.846213
33,2056,124.473795342
34,2056,124.473795342
35,2053,125.101377683
36,2053,125.101377683
37,2051,125.728960025
38,2051,125.728960025
39,2048,126.356542367
40,2048,126.356542367
41,2045,126.984124708
42,2045,126.984124708
43,2043,127.61170705
44,2043,127.61170705
45,2040,128.239289392
46,2040,128.239289392
47,2037,128.866871733
48,2037,128.866871733
49,2035,129.494454075
50,2035,129.494454075
51,2032,130.122036417
52,2032,130.122036417
53,2029,130.749618758
54,2029,130.749618758
55,2027,131.3772011
56,2027,131.3772011
57,2024,132.004783442
58,2024,132.004783442
59,2021,132.632365783
60,2021,132.632365783
61,2019,133.050754011
62,2019,133.050754011
63,2016,133.469142239
64,2016,133.469142239
65,2013,133.887530467
66,2013,133.887530467
67,2011,134.305918695
68,2011,134.305918695
69,2008,134.724306922
70,2008,134.724306922
71,2005,135.14269515
72,2005,135.14269515
73,2003,135.561083378
74,2003,135.561083378
75,2000,135.979471606
76,2000,135.979471606
77,1997,136.397859833
78,1997,136.397859833
79,1995,136.816248061
80,1995,136.816248061
81,1992,137.234636289
82,1992,137.234636289
83,1989,137.653024517
84,1989,137.653024517
85,1986,138.071412745
86,1986,138.071412745
87,1984,138.489800972
88,1984,138.489800972
89,1981,138.9081892
90,1981,138.9081892
91,1978,139.221980371
92,1978,139.221980371
93,1976,139.535771542
94,1976,139.535771542
95,1973,139.849562713
96,1973,139.849562713
97,1970,140.163353883
98,1970,140.163353883
99,1968,140.477145054
100,1968,140.477145054
101,1965,140.790936225
102,1965,140.790936225
103,1962,141.104727396
104,1962,141.104727396
105,1960,141.418518567
106,1960,141.418518567
107,1957,141.732309738
108,1957,141.732309738
109,1954,142.046100908
110,1954,142.046100908
111,1952,142.359892079
112,1952,142.359892079
113,1949,142.67368325
114,1949,142.67368325
115,1946,142.987474421
116,1946,142.987474421
117,1944,143.301265592
118,1944,143.301265592
119,1941,143.615056763
120,1941,143.615056763
121,1938,144.03344499
122,1938,144.03344499
123,1936,144.451833218
124,1936,144.451833218
125,1933,144.870221446
126,1933,144.870221446
127,1930,145.288609674
128,1930,145.288609674
129,1928,145.706997902
130,1928,145.706997902
131,1925,146.125386129
132,1925,146.125386129
133,1922,146.543774357
134,1922,146.543774357
135,1920,146.962162585
136,1920,146.962162585
137,1917,147.380550813
138,1917,147.380550813
139,1914,147.79893904
140,1914,147.79893904
141,1912,148.217327268
142,1912,148.217327268
143,1909,148.635715496
144,1909,148.635715496
145,1906,149.054103724
146,1906,149.054103724
147,1904,149.472491952
148,1904,149.472491952
149,1901,149.890880179
150,1901,149.890880179
151,1898,150.518462521
152,1898,150.518462521
153,1896,151.146044863
154,1896,151.146044863
155,1893,151.773627204
156,1893,151.773627204
157,1890,152.401209546
158,1890,152.401209546
159,1888,153.028791888
160,1888,153.028791888
161,1885,153.656374229
162,1885,153.656374229
163,1882,154.283956571
164,1882,154.283956571
165,1879,154.911538913
166,1879,154.911538913
167,1877,155.539121254
168,1877,155.539121254
169,1874,156.166703596
170,1874,156.166703596
171,1871,156.794285938
172,1871,156.794285938
173,1869,157.421868279
174,1869,157.421868279
175,1866,158.049450621
176,1866,158.049450621
177,1863,158.677032963
178,1863,158.677032963
179,1861,159.304615304
180,1861,159.304615304
181,1858,160.14139176
182,1858,160.14139176
183,1855,160.978168216
184,1855,160.978168216
185,1853,161.814944671
186,1853,161.814944671
187,1850,162.651721127
188,1850,162.651721127
189,1847,163.488497582
190,1847,163.488497582
191,1845,164.325274038
192,1845,164.325274038
193,1842,165.162050493
194,1842,165.162050493
195,1839,165.998826949
196,1839,165.998826949
197,1837,166.835603404
198,1837,166.835603404
199,1834,167.67237986
200,1834,167.67237986
201,1831,168.509156316
202,1831,168.509156316
203,1829,169.345932771
204,1829,169.345932771
205,1826,170.182709227
206,1826,170.182709227
207,1823,171.019485682
208,1823,171.019485682
209,1821,171.856262138
210,1821,171.856262138
211,1818,172.902232707
212,1818,172.902232707
213,1815,173.948203277
214,1815,173.948203277
215,1813,174.994173846
216,1813,174.994173846
217,1810,176.040144416
218,1810,176.040144416
219,1807,177.086114985
220,1807,177.086114985
221,1805,178.132085555
222,1805,178.132085555
223,1802,179.178056124
224,1802,179.178056124
225,1799,180.224026693
226,1799,180.224026693
227,1797,181.269997263
228,1797,181.269997263
229,1794,182.315967832
230,1794,182.315967832
231,1791,183.361938402
232,1791,183.361938402
233,1789,184.407908971
234,1789,184.407908971
235,1786,185.453879541
236,1786,185.453879541
237,1783,186.49985011
238,1783,186.49985011
239,1781,187.54582068
