change,bitrate,buffer
0,452,508.491150442
1,562,491.940857001
2,561,491.962613189
3,561,491.963449965
4,560,491.985206153
5,560,491.982277435
6,560,492.009891058
7,560,492.007171535
8,559,492.034785158
9,559,492.03185644
10,559,492.051729881
11,559,492.048801164
12,558,492.072230904
13,558,492.061562005
14,557,492.098589363
15,557,492.087083687
16,557,492.124111045
17,557,492.10863068
18,556,492.154653385
19,556,492.135825915
20,556,492.18080265
21,556,492.154025803
22,555,492.20778869
23,555,492.182894591
24,554,492.23268279
25,554,492.199211732
26,554,492.262388354
27,554,492.227243743
28,553,492.292930695
29,553,492.257786083
30,553,492.324937394
31,553,492.289374395
32,552,492.355061346
33,552,492.316151241
34,551,492.390624346
35,551,492.343137282
36,551,492.427860898
37,551,492.369077352
38,550,492.460913568
39,550,492.401293246
40,550,492.496058179
41,550,492.431835586
42,549,492.52660052
43,548,492.562591941
