Th R rho K BO Xk
6500 3000 2.166667 120 100 119.799684
6500 3000 2.166667 120 120 119.803824
6500 3000 2.166667 240 0 239.298914
6500 3000 2.166667 240 5 239.314574
6500 3000 2.166667 240 15 239.372833
6500 3000 2.166667 240 20 239.425291
6500 3000 2.166667 240 30 239.451691
6500 3000 2.166667 240 50 239.508690
6500 3000 2.166667 240 60 239.569949
6500 3000 2.166667 240 100 239.659807
6500 3000 2.166667 240 120 239.675606
6500 3000 2.166667 240 200 239.792984
6000 3000 2.000000 30 0 29.744805
6000 3000 2.000000 30 5 29.743485
6000 3000 2.000000 30 15 29.734525
6000 3000 2.000000 30 20 29.739865
6000 3000 2.000000 30 30 29.742365
6000 3000 2.000000 60 0 59.705166
6000 3000 2.000000 60 5 59.727105
6000 3000 2.000000 60 15 59.726705
6000 3000 2.000000 60 20 59.723186
6000 3000 2.000000 60 30 59.739445
6000 3000 2.000000 60 50 59.736965
6000 3000 2.000000 60 60 59.745305
6000 3000 2.000000 120 0 119.614428
6000 3000 2.000000 120 5 119.621768
6000 3000 2.000000 120 15 119.641987
6000 3000 2.000000 120 20 119.651287
6000 3000 2.000000 120 30 119.651907
6000 3000 2.000000 120 50 119.673107
6000 3000 2.000000 120 60 119.709826
6000 3000 2.000000 120 100 119.742305
6000 3000 2.000000 120 120 119.740505
6000 3000 2.000000 240 0 239.242215
6000 3000 2.000000 240 5 239.205356
6000 3000 2.000000 240 15 239.230155
6000 3000 2.000000 240 20 239.271655
6000 3000 2.000000 240 30 239.232115
6000 3000 2.000000 240 50 239.431131
6000 3000 2.000000 240 60 239.387852
6000 3000 2.000000 240 100 239.530569
6000 3000 2.000000 240 120 239.586528
6000 3000 2.000000 240 200 239.720086
4100 3000 1.366667 30 0 28.944281
4100 3000 1.366667 30 5 28.872623
4100 3000 1.366667 30 15 28.947681
4100 3000 1.366667 30 20 28.948421
4100 3000 1.366667 30 30 28.920702
4100 3000 1.366667 60 0 58.866643
4100 3000 1.366667 60 5 58.830383
4100 3000 1.366667 60 15 58.872003
4100 3000 1.366667 60 20 58.912102
4100 3000 1.366667 60 30 58.921522
4100 3000 1.366667 60 50 58.896902
4100 3000 1.366667 60 60 58.985020
4100 3000 1.366667 120 0 118.615868
4100 3000 1.366667 120 5 118.518730
4100 3000 1.366667 120 15 118.668927
4100 3000 1.366667 120 20 118.555849
4100 3000 1.366667 120 30 118.832143
4100 3000 1.366667 120 50 118.717926
4100 3000 1.366667 120 60 118.868323
4100 3000 1.366667 120 100 118.933901
4100 3000 1.366667 120 120 118.937821
4100 3000 1.366667 240 0 237.139897
4100 3000 1.366667 240 5 237.692146
4100 3000 1.366667 240 15 237.423252
4100 3000 1.366667 240 20 237.458771
4100 3000 1.366667 240 30 237.581028
4100 3000 1.366667 240 50 237.934041
4100 3000 1.366667 240 60 238.141637
4100 3000 1.366667 240 100 238.322234
4100 3000 1.366667 240 120 238.665687
4100 3000 1.366667 240 200 238.933401
2200 3000 0.733333 30 0 1.084038
2200 3000 0.733333 30 5 0.975340
2200 3000 0.733333 30 15 1.066819
2200 3000 0.733333 30 20 0.984200
2200 3000 0.733333 30 30 1.017140
2200 3000 0.733333 60 0 1.001120
2200 3000 0.733333 60 5 1.042199
2200 3000 0.733333 60 15 1.055699
2200 3000 0.733333 60 20 1.121838
2200 3000 0.733333 60 30 0.992120
2200 3000 0.733333 60 50 1.152677
2200 3000 0.733333 60 60 1.069379
2200 3000 0.733333 120 0 0.970261
2200 3000 0.733333 120 5 1.037159
2200 3000 0.733333 120 15 1.068459
2200 3000 0.733333 120 20 1.005780
2200 3000 0.733333 120 30 1.052339
2200 3000 0.733333 120 50 1.113298
2200 3000 0.733333 120 60 1.140177
2200 3000 0.733333 120 100 1.300634
2200 3000 0.733333 120 120 1.546129
2200 3000 0.733333 240 0 1.009520
2200 3000 0.733333 240 5 0.976280
2200 3000 0.733333 240 15 1.047179
2200 3000 0.733333 240 20 1.052899
2200 3000 0.733333 240 30 1.048919
2200 3000 0.733333 240 50 1.130797
2200 3000 0.733333 240 60 1.150317
2200 3000 0.733333 240 100 1.392532
2200 3000 0.733333 240 120 1.436171
2200 3000 0.733333 240 200 2.599968
1800 3000 0.600000 30 0 0.445931
1800 3000 0.600000 30 5 0.444611
1800 3000 0.600000 30 15 0.450491
1800 3000 0.600000 30 20 0.432891
1800 3000 0.600000 30 30 0.498810
1800 3000 0.600000 60 0 0.470211
1800 3000 0.600000 60 5 0.464771
1800 3000 0.600000 60 15 0.448511
1800 3000 0.600000 60 20 0.439171
1800 3000 0.600000 60 30 0.455611
1800 3000 0.600000 60 50 0.500470
1800 3000 0.600000 60 60 0.580368
1800 3000 0.600000 120 0 0.472891
1800 3000 0.600000 120 5 0.449131
1800 3000 0.600000 120 15 0.465591
1800 3000 0.600000 120 20 0.449571
1800 3000 0.600000 120 30 0.475210
1800 3000 0.600000 120 50 0.517270
1800 3000 0.600000 120 60 0.507850
1800 3000 0.600000 120 100 0.797864
1800 3000 0.600000 120 120 0.805684
1800 3000 0.600000 240 0 0.466271
1800 3000 0.600000 240 5 0.454071
1800 3000 0.600000 240 15 0.466251
1800 3000 0.600000 240 20 0.475410
1800 3000 0.600000 240 30 0.450311
1800 3000 0.600000 240 50 0.489790
1800 3000 0.600000 240 60 0.542569
1800 3000 0.600000 240 100 0.680466
1800 3000 0.600000 240 120 0.898262
1800 3000 0.600000 240 200 1.508450
1200 3000 0.400000 30 0 0.133397
1200 3000 0.400000 30 5 0.134537
1200 3000 0.400000 30 15 0.138077
1200 3000 0.400000 30 20 0.137557
1200 3000 0.400000 30 30 0.143217
1200 3000 0.400000 60 0 0.136517
1200 3000 0.400000 60 5 0.133717
1200 3000 0.400000 60 15 0.143837
1200 3000 0.400000 60 20 0.132357
1200 3000 0.400000 60 30 0.146697
1200 3000 0.400000 60 50 0.173937
1200 3000 0.400000 60 60 0.194696
1200 3000 0.400000 120 0 0.135657
1200 3000 0.400000 120 5 0.133697
1200 3000 0.400000 120 15 0.144517
1200 3000 0.400000 120 20 0.144457
1200 3000 0.400000 120 30 0.154137
1200 3000 0.400000 120 50 0.173077
1200 3000 0.400000 120 60 0.194096
1200 3000 0.400000 120 100 0.284974
1200 3000 0.400000 120 120 0.369153
1200 3000 0.400000 240 0 0.131117
1200 3000 0.400000 240 5 0.129177
1200 3000 0.400000 240 15 0.139257
1200 3000 0.400000 240 20 0.133897
1200 3000 0.400000 240 30 0.154077
1200 3000 0.400000 240 50 0.174317
1200 3000 0.400000 240 60 0.194376
1200 3000 0.400000 240 100 0.291694
1200 3000 0.400000 240 120 0.388932
1200 3000 0.400000 240 200 0.800624
6500 2000 3.250000 30 0 29.949221
6500 2000 3.250000 30 5 29.949261
6500 2000 3.250000 30 15 29.951921
6500 2000 3.250000 30 20 29.951781
6500 2000 3.250000 30 30 29.950601
6500 2000 3.250000 60 0 59.934281
6500 2000 3.250000 60 5 59.942081
6500 2000 3.250000 60 15 59.943601
6500 2000 3.250000 60 20 59.945681
6500 2000 3.250000 60 30 59.950681
6500 2000 3.250000 60 50 59.953021
6500 2000 3.250000 60 60 59.954161
6500 2000 3.250000 120 0 119.853923
6500 2000 3.250000 120 5 119.901622
6500 2000 3.250000 120 15 119.903142
6500 2000 3.250000 120 20 119.902062
6500 2000 3.250000 120 30 119.906842
6500 2000 3.250000 120 50 119.930081
6500 2000 3.250000 120 60 119.935201
6500 2000 3.250000 120 100 119.951541
6500 2000 3.250000 120 120 119.951421
6500 2000 3.250000 240 0 239.700586
6500 2000 3.250000 240 5 239.712246
6500 2000 3.250000 240 15 239.747425
6500 2000 3.250000 240 20 239.699466
6500 2000 3.250000 240 30 239.750285
6500 2000 3.250000 240 50 239.784864
6500 2000 3.250000 240 60 239.777924
6500 2000 3.250000 240 100 239.870983
6500 2000 3.250000 240 120 239.894462
6500 2000 3.250000 240 200 239.946021
6000 2000 3.000000 30 0 29.931981
6000 2000 3.000000 30 5 29.932421
6000 2000 3.000000 30 15 29.935501
6000 2000 3.000000 30 20 29.937301
6000 2000 3.000000 30 30 29.936421
6000 2000 3.000000 60 0 59.924702
6000 2000 3.000000 60 5 59.922202
6000 2000 3.000000 60 15 59.927141
6000 2000 3.000000 60 20 59.925261
6000 2000 3.000000 60 30 59.933821
6000 2000 3.000000 60 50 59.938261
6000 2000 3.000000 60 60 59.933741
6000 2000 3.000000 120 0 119.880802
6000 2000 3.000000 120 5 119.877342
6000 2000 3.000000 120 15 119.889802
6000 2000 3.000000 120 20 119.885582
6000 2000 3.000000 120 30 119.902962
6000 2000 3.000000 120 50 119.911082
6000 2000 3.000000 120 60 119.919602
6000 2000 3.000000 120 100 119.933921
6000 2000 3.000000 120 120 119.934221
6000 2000 3.000000 240 0 239.679446
6000 2000 3.000000 240 5 239.669847
6000 2000 3.000000 240 15 239.710306
6000 2000 3.000000 240 20 239.706766
6000 2000 3.000000 240 30 239.706506
6000 2000 3.000000 240 50 239.770345
6000 2000 3.000000 240 60 239.759265
6000 2000 3.000000 240 100 239.803444
6000 2000 3.000000 240 120 239.868123
6000 2000 3.000000 240 200 239.927841
4100 2000 2.050000 30 0 29.749125
4100 2000 2.050000 30 5 29.758385
4100 2000 2.050000 30 15 29.754705
4100 2000 2.050000 30 20 29.764665
4100 2000 2.050000 30 30 29.767965
4100 2000 2.050000 60 0 59.710106
4100 2000 2.050000 60 5 59.733885
4100 2000 2.050000 60 15 59.752145
4100 2000 2.050000 60 20 59.750085
4100 2000 2.050000 60 30 59.751845
4100 2000 2.050000 60 50 59.762925
4100 2000 2.050000 60 60 59.761805
4100 2000 2.050000 120 0 119.633687
4100 2000 2.050000 120 5 119.594068
4100 2000 2.050000 120 15 119.645787
4100 2000 2.050000 120 20 119.686326
4100 2000 2.050000 120 30 119.708246
4100 2000 2.050000 120 50 119.728905
4100 2000 2.050000 120 60 119.749045
4100 2000 2.050000 120 100 119.772245
4100 2000 2.050000 120 120 119.763765
4100 2000 2.050000 240 0 239.063499
4100 2000 2.050000 240 5 239.260715
4100 2000 2.050000 240 15 239.303754
4100 2000 2.050000 240 20 239.288374
4100 2000 2.050000 240 30 239.353773
4100 2000 2.050000 240 50 239.432291
4100 2000 2.050000 240 60 239.435271
4100 2000 2.050000 240 100 239.579728
4100 2000 2.050000 240 120 239.619648
4100 2000 2.050000 240 200 239.752325
2200 2000 1.100000 30 0 25.617748
2200 2000 1.100000 30 5 25.503190
2200 2000 1.100000 30 15 25.121458
2200 2000 1.100000 30 20 25.598588
2200 2000 1.100000 30 30 25.371173
2200 2000 1.100000 60 0 54.920822
2200 2000 1.100000 60 5 55.027259
2200 2000 1.100000 60 15 54.996120
2200 2000 1.100000 60 20 55.094798
2200 2000 1.100000 60 30 55.533529
2200 2000 1.100000 60 50 55.305294
2200 2000 1.100000 60 60 54.988320
2200 2000 1.100000 120 0 114.092238
2200 2000 1.100000 120 5 114.321614
2200 2000 1.100000 120 15 114.450451
2200 2000 1.100000 120 20 114.851943
2200 2000 1.100000 120 30 114.212396
2200 2000 1.100000 120 50 114.552469
2200 2000 1.100000 120 60 115.495710
2200 2000 1.100000 120 100 115.053179
2200 2000 1.100000 120 120 115.382452
2200 2000 1.100000 240 0 229.388332
2200 2000 1.100000 240 5 231.123658
2200 2000 1.100000 240 15 230.258655
2200 2000 1.100000 240 20 229.882962
2200 2000 1.100000 240 30 230.006940
2200 2000 1.100000 240 50 231.145237
2200 2000 1.100000 240 60 232.346713
2200 2000 1.100000 240 100 233.273715
2200 2000 1.100000 240 120 233.714726
2200 2000 1.100000 240 200 234.826543
1800 2000 0.900000 30 0 3.931801
1800 2000 0.900000 30 5 3.873443
1800 2000 0.900000 30 15 4.435871
1800 2000 0.900000 30 20 4.362213
1800 2000 0.900000 30 30 3.549549
1800 2000 0.900000 60 0 3.930561
1800 2000 0.900000 60 5 4.231995
1800 2000 0.900000 60 15 4.426111
1800 2000 0.900000 60 20 4.168597
1800 2000 0.900000 60 30 4.257635
1800 2000 0.900000 60 50 4.379092
1800 2000 0.900000 60 60 4.074179
1800 2000 0.900000 120 0 4.014620
1800 2000 0.900000 120 5 4.197576
1800 2000 0.900000 120 15 4.356993
1800 2000 0.900000 120 20 3.992780
1800 2000 0.900000 120 30 4.202676
1800 2000 0.900000 120 50 3.999380
1800 2000 0.900000 120 60 4.936461
1800 2000 0.900000 120 100 5.283034
1800 2000 0.900000 120 120 5.706766
1800 2000 0.900000 240 0 4.228255
1800 2000 0.900000 240 5 4.171957
1800 2000 0.900000 240 15 4.410692
1800 2000 0.900000 240 20 4.024040
1800 2000 0.900000 240 30 4.045499
1800 2000 0.900000 240 50 5.136517
1800 2000 0.900000 240 60 4.428351
1800 2000 0.900000 240 100 5.008860
1800 2000 0.900000 240 120 5.518230
1800 2000 0.900000 240 200 7.420292
1200 2000 0.600000 30 0 0.434431
1200 2000 0.600000 30 5 0.453911
1200 2000 0.600000 30 15 0.451411
1200 2000 0.600000 30 20 0.456931
1200 2000 0.600000 30 30 0.464971
1200 2000 0.600000 60 0 0.448151
1200 2000 0.600000 60 5 0.455511
1200 2000 0.600000 60 15 0.450671
1200 2000 0.600000 60 20 0.467631
1200 2000 0.600000 60 30 0.465791
1200 2000 0.600000 60 50 0.527249
1200 2000 0.600000 60 60 0.559809
1200 2000 0.600000 120 0 0.472851
1200 2000 0.600000 120 5 0.461691
1200 2000 0.600000 120 15 0.439531
1200 2000 0.600000 120 20 0.462611
1200 2000 0.600000 120 30 0.451731
1200 2000 0.600000 120 50 0.545409
1200 2000 0.600000 120 60 0.549129
1200 2000 0.600000 120 100 0.752125
1200 2000 0.600000 120 120 0.820444
1200 2000 0.600000 240 0 0.451291
1200 2000 0.600000 240 5 0.446571
1200 2000 0.600000 240 15 0.451771
1200 2000 0.600000 240 20 0.477510
1200 2000 0.600000 240 30 0.474471
1200 2000 0.600000 240 50 0.506470
1200 2000 0.600000 240 60 0.566029
1200 2000 0.600000 240 100 0.708646
1200 2000 0.600000 240 120 0.922122
1200 2000 0.600000 240 200 1.460791
6500 1500 4.333333 30 0 29.982240
6500 1500 4.333333 30 5 29.985120
6500 1500 4.333333 30 15 29.985240
6500 1500 4.333333 30 20 29.985120
6500 1500 4.333333 30 30 29.985760
6500 1500 4.333333 60 0 59.974581
6500 1500 4.333333 60 5 59.973541
6500 1500 4.333333 60 15 59.979660
6500 1500 4.333333 60 20 59.981140
6500 1500 4.333333 60 30 59.981040
6500 1500 4.333333 60 50 59.985120
6500 1500 4.333333 60 60 59.985820
6500 1500 4.333333 120 0 119.944201
6500 1500 4.333333 120 5 119.951081
6500 1500 4.333333 120 15 119.950421
6500 1500 4.333333 120 20 119.957001
6500 1500 4.333333 120 30 119.958521
6500 1500 4.333333 120 50 119.967741
6500 1500 4.333333 120 60 119.978360
6500 1500 4.333333 120 100 119.983980
6500 1500 4.333333 120 120 119.984440
6500 1500 4.333333 240 0 239.804804
6500 1500 4.333333 240 5 239.840603
6500 1500 4.333333 240 15 239.814224
6500 1500 4.333333 240 20 239.821484
6500 1500 4.333333 240 30 239.844823
6500 1500 4.333333 240 50 239.863723
6500 1500 4.333333 240 60 239.887182
6500 1500 4.333333 240 100 239.930781
6500 1500 4.333333 240 120 239.941381
6500 1500 4.333333 240 200 239.980600
6000 1500 4.000000 30 0 29.974881
6000 1500 4.000000 30 5 29.975860
6000 1500 4.000000 30 15 29.978340
6000 1500 4.000000 30 20 29.979080
6000 1500 4.000000 30 30 29.981040
6000 1500 4.000000 60 0 59.966301
6000 1500 4.000000 60 5 59.964941
6000 1500 4.000000 60 15 59.972181
6000 1500 4.000000 60 20 59.975020
6000 1500 4.000000 60 30 59.976200
6000 1500 4.000000 60 50 59.978780
6000 1500 4.000000 60 60 59.979180
6000 1500 4.000000 120 0 119.934401
6000 1500 4.000000 120 5 119.941421
6000 1500 4.000000 120 15 119.938281
6000 1500 4.000000 120 20 119.950961
6000 1500 4.000000 120 30 119.952341
6000 1500 4.000000 120 50 119.962281
6000 1500 4.000000 120 60 119.968401
6000 1500 4.000000 120 100 119.978100
6000 1500 4.000000 120 120 119.979080
6000 1500 4.000000 240 0 239.755625
6000 1500 4.000000 240 5 239.774805
6000 1500 4.000000 240 15 239.799924
6000 1500 4.000000 240 20 239.807944
6000 1500 4.000000 240 30 239.842783
6000 1500 4.000000 240 50 239.860983
6000 1500 4.000000 240 60 239.879982
6000 1500 4.000000 240 100 239.903062
6000 1500 4.000000 240 120 239.939141
6000 1500 4.000000 240 200 239.974101
4100 1500 2.733333 30 0 29.905862
4100 1500 2.733333 30 5 29.908022
4100 1500 2.733333 30 15 29.912462
4100 1500 2.733333 30 20 29.912302
4100 1500 2.733333 30 30 29.909422
4100 1500 2.733333 60 0 59.885062
4100 1500 2.733333 60 5 59.898682
4100 1500 2.733333 60 15 59.900402
4100 1500 2.733333 60 20 59.901022
4100 1500 2.733333 60 30 59.905122
4100 1500 2.733333 60 50 59.911402
4100 1500 2.733333 60 60 59.911462
4100 1500 2.733333 120 0 119.845103
4100 1500 2.733333 120 5 119.839463
4100 1500 2.733333 120 15 119.850463
4100 1500 2.733333 120 20 119.868023
4100 1500 2.733333 120 30 119.867303
4100 1500 2.733333 120 50 119.883762
4100 1500 2.733333 120 60 119.890322
4100 1500 2.733333 120 100 119.907162
4100 1500 2.733333 120 120 119.908382
4100 1500 2.733333 240 0 239.528649
4100 1500 2.733333 240 5 239.567409
4100 1500 2.733333 240 15 239.574189
4100 1500 2.733333 240 20 239.624628
4100 1500 2.733333 240 30 239.629387
4100 1500 2.733333 240 50 239.703266
4100 1500 2.733333 240 60 239.711666
4100 1500 2.733333 240 100 239.787804
4100 1500 2.733333 240 120 239.833103
4100 1500 2.733333 240 200 239.900262
2200 1500 1.466667 30 0 29.211516
2200 1500 1.466667 30 5 29.149337
2200 1500 1.466667 30 15 29.175576
2200 1500 1.466667 30 20 29.204076
2200 1500 1.466667 30 30 29.245315
2200 1500 1.466667 60 0 59.153077
2200 1500 1.466667 60 5 59.160857
2200 1500 1.466667 60 15 59.192996
2200 1500 1.466667 60 20 59.189556
2200 1500 1.466667 60 30 59.131037
2200 1500 1.466667 60 50 59.256475
2200 1500 1.466667 60 60 59.229215
2200 1500 1.466667 120 0 118.915762
2200 1500 1.466667 120 5 118.812264
2200 1500 1.466667 120 15 118.901742
2200 1500 1.466667 120 20 118.959801
2200 1500 1.466667 120 30 119.002940
2200 1500 1.466667 120 50 119.087618
2200 1500 1.466667 120 60 119.138477
2200 1500 1.466667 120 100 119.215676
2200 1500 1.466667 120 120 119.206116
2200 1500 1.466667 240 0 237.951541
2200 1500 1.466667 240 5 238.183236
2200 1500 1.466667 240 15 238.045199
2200 1500 1.466667 240 20 238.311694
2200 1500 1.466667 240 30 238.181136
2200 1500 1.466667 240 50 238.497690
2200 1500 1.466667 240 60 238.539929
2200 1500 1.466667 240 100 238.731945
2200 1500 1.466667 240 120 238.958561
2200 1500 1.466667 240 200 239.213856
1800 1500 1.200000 30 0 27.894302
1800 1500 1.200000 30 5 27.808944
1800 1500 1.200000 30 15 27.946441
1800 1500 1.200000 30 20 27.822024
1800 1500 1.200000 30 30 27.801104
1800 1500 1.200000 60 0 57.611408
1800 1500 1.200000 60 5 57.702186
1800 1500 1.200000 60 15 57.706706
1800 1500 1.200000 60 20 57.729645
1800 1500 1.200000 60 30 57.687406
1800 1500 1.200000 60 50 57.742945
1800 1500 1.200000 60 60 57.651167
1800 1500 1.200000 120 0 117.230875
1800 1500 1.200000 120 5 117.259415
1800 1500 1.200000 120 15 117.097718
1800 1500 1.200000 120 20 117.355573
