Th R rho K BO Xk
6500 5000 1.300000 30 0 28.658927
6500 5000 1.300000 30 5 28.618588
6500 5000 1.300000 30 15 28.587068
6500 5000 1.300000 30 20 28.626387
6500 5000 1.300000 30 30 28.678406
6500 5000 1.300000 60 0 58.533189
6500 5000 1.300000 60 5 58.336313
6500 5000 1.300000 60 15 58.495570
6500 5000 1.300000 60 20 58.640587
6500 5000 1.300000 60 30 58.602208
6500 5000 1.300000 60 50 58.645427
6500 5000 1.300000 60 60 58.744805
6500 5000 1.300000 120 0 118.150817
6500 5000 1.300000 120 5 118.354773
6500 5000 1.300000 120 15 118.343513
6500 5000 1.300000 120 20 118.395232
6500 5000 1.300000 120 30 118.294594
6500 5000 1.300000 120 50 118.538189
6500 5000 1.300000 120 60 118.474411
6500 5000 1.300000 120 100 118.697906
6500 5000 1.300000 120 120 118.613248
6500 5000 1.300000 240 0 237.151057
6500 5000 1.300000 240 5 236.642067
6500 5000 1.300000 240 15 237.153317
6500 5000 1.300000 240 20 236.961281
6500 5000 1.300000 240 30 236.565429
6500 5000 1.300000 240 50 237.162777
6500 5000 1.300000 240 60 237.780964
6500 5000 1.300000 240 100 237.556829
6500 5000 1.300000 240 120 238.091398
6500 5000 1.300000 240 200 238.633367
6000 5000 1.200000 30 0 27.786224
6000 5000 1.200000 30 5 27.635547
6000 5000 1.200000 30 15 27.842023
6000 5000 1.200000 30 20 27.745185
6000 5000 1.200000 30 30 27.960721
6000 5000 1.200000 60 0 57.537149
6000 5000 1.200000 60 5 57.591848
6000 5000 1.200000 60 15 57.751465
6000 5000 1.200000 60 20 57.775504
6000 5000 1.200000 60 30 57.823924
6000 5000 1.200000 60 50 57.787444
6000 5000 1.200000 60 60 57.835443
6000 5000 1.200000 120 0 117.108958
6000 5000 1.200000 120 5 117.157557
6000 5000 1.200000 120 15 117.280214
6000 5000 1.200000 120 20 117.379172
6000 5000 1.200000 120 30 117.464951
6000 5000 1.200000 120 50 117.556169
6000 5000 1.200000 120 60 117.732285
6000 5000 1.200000 120 100 117.851343
6000 5000 1.200000 120 120 117.821824
6000 5000 1.200000 240 0 235.405132
6000 5000 1.200000 240 5 235.264095
6000 5000 1.200000 240 15 234.611368
6000 5000 1.200000 240 20 234.861343
6000 5000 1.200000 240 30 236.052539
6000 5000 1.200000 240 50 236.381532
6000 5000 1.200000 240 60 236.652847
6000 5000 1.200000 240 100 237.204996
6000 5000 1.200000 240 120 237.234615
6000 5000 1.200000 240 200 237.746385
4100 5000 0.820000 30 0 1.950761
4100 5000 0.820000 30 5 1.761125
4100 5000 0.820000 30 15 1.844663
4100 5000 0.820000 30 20 1.831983
4100 5000 0.820000 30 30 2.057479
4100 5000 0.820000 60 0 1.769465
4100 5000 0.820000 60 5 1.826123
4100 5000 0.820000 60 15 1.920202
4100 5000 0.820000 60 20 1.968021
4100 5000 0.820000 60 30 2.030819
4100 5000 0.820000 60 50 1.986680
4100 5000 0.820000 60 60 1.896342
4100 5000 0.820000 120 0 1.821284
4100 5000 0.820000 120 5 1.975760
4100 5000 0.820000 120 15 1.929501
4100 5000 0.820000 120 20 1.807704
4100 5000 0.820000 120 30 1.897682
4100 5000 0.820000 120 50 1.997460
4100 5000 0.820000 120 60 2.169797
4100 5000 0.820000 120 100 2.332353
4100 5000 0.820000 120 120 2.704826
4100 5000 0.820000 240 0 1.829343
4100 5000 0.820000 240 5 1.960521
4100 5000 0.820000 240 15 1.851523
4100 5000 0.820000 240 20 1.866043
4100 5000 0.820000 240 30 1.863523
4100 5000 0.820000 240 50 1.935221
4100 5000 0.820000 240 60 2.258795
4100 5000 0.820000 240 100 2.604888
4100 5000 0.820000 240 120 2.946301
4100 5000 0.820000 240 200 4.702166
2200 5000 0.440000 30 0 0.170117
2200 5000 0.440000 30 5 0.170457
2200 5000 0.440000 30 15 0.181876
2200 5000 0.440000 30 20 0.181336
2200 5000 0.440000 30 30 0.194556
2200 5000 0.440000 60 0 0.171717
2200 5000 0.440000 60 5 0.170617
2200 5000 0.440000 60 15 0.173277
2200 5000 0.440000 60 20 0.179476
2200 5000 0.440000 60 30 0.191716
2200 5000 0.440000 60 50 0.217136
2200 5000 0.440000 60 60 0.227875
2200 5000 0.440000 120 0 0.173477
2200 5000 0.440000 120 5 0.174237
2200 5000 0.440000 120 15 0.175496
2200 5000 0.440000 120 20 0.177776
2200 5000 0.440000 120 30 0.191796
2200 5000 0.440000 120 50 0.222796
2200 5000 0.440000 120 60 0.240315
2200 5000 0.440000 120 100 0.335293
2200 5000 0.440000 120 120 0.444451
2200 5000 0.440000 240 0 0.180636
2200 5000 0.440000 240 5 0.168477
2200 5000 0.440000 240 15 0.175416
2200 5000 0.440000 240 20 0.179396
2200 5000 0.440000 240 30 0.187756
2200 5000 0.440000 240 50 0.208476
2200 5000 0.440000 240 60 0.245215
2200 5000 0.440000 240 100 0.348533
2200 5000 0.440000 240 120 0.439931
2200 5000 0.440000 240 200 0.923582
1800 5000 0.360000 30 0 0.098078
1800 5000 0.360000 30 5 0.104918
1800 5000 0.360000 30 15 0.101718
1800 5000 0.360000 30 20 0.106538
1800 5000 0.360000 30 30 0.116218
1800 5000 0.360000 60 0 0.102678
1800 5000 0.360000 60 5 0.108798
1800 5000 0.360000 60 15 0.101538
1800 5000 0.360000 60 20 0.110178
1800 5000 0.360000 60 30 0.117838
1800 5000 0.360000 60 50 0.141877
1800 5000 0.360000 60 60 0.160757
1800 5000 0.360000 120 0 0.096638
1800 5000 0.360000 120 5 0.101438
1800 5000 0.360000 120 15 0.107918
1800 5000 0.360000 120 20 0.104078
1800 5000 0.360000 120 30 0.114658
1800 5000 0.360000 120 50 0.152577
1800 5000 0.360000 120 60 0.159737
1800 5000 0.360000 120 100 0.259735
1800 5000 0.360000 120 120 0.318634
1800 5000 0.360000 240 0 0.097858
1800 5000 0.360000 240 5 0.104398
1800 5000 0.360000 240 15 0.107918
1800 5000 0.360000 240 20 0.101538
1800 5000 0.360000 240 30 0.116458
1800 5000 0.360000 240 50 0.135657
1800 5000 0.360000 240 60 0.155777
1800 5000 0.360000 240 100 0.250595
1800 5000 0.360000 240 120 0.300694
1800 5000 0.360000 240 200 0.745865
1200 5000 0.240000 30 0 0.036339
1200 5000 0.240000 30 5 0.036639
1200 5000 0.240000 30 15 0.042279
1200 5000 0.240000 30 20 0.044039
1200 5000 0.240000 30 30 0.050739
1200 5000 0.240000 60 0 0.037659
1200 5000 0.240000 60 5 0.037639
1200 5000 0.240000 60 15 0.041899
1200 5000 0.240000 60 20 0.043659
1200 5000 0.240000 60 30 0.049419
1200 5000 0.240000 60 50 0.073259
1200 5000 0.240000 60 60 0.083218
1200 5000 0.240000 120 0 0.035819
1200 5000 0.240000 120 5 0.038619
1200 5000 0.240000 120 15 0.039799
1200 5000 0.240000 120 20 0.044539
1200 5000 0.240000 120 30 0.048159
1200 5000 0.240000 120 50 0.071639
1200 5000 0.240000 120 60 0.089338
1200 5000 0.240000 120 100 0.165097
1200 5000 0.240000 120 120 0.219056
1200 5000 0.240000 240 0 0.040679
1200 5000 0.240000 240 5 0.039179
1200 5000 0.240000 240 15 0.043939
1200 5000 0.240000 240 20 0.042919
1200 5000 0.240000 240 30 0.051719
1200 5000 0.240000 240 50 0.074659
1200 5000 0.240000 240 60 0.094158
1200 5000 0.240000 240 100 0.175616
1200 5000 0.240000 240 120 0.235155
1200 5000 0.240000 240 200 0.581608
6500 3000 2.166667 30 0 29.800464
6500 3000 2.166667 30 5 29.800204
6500 3000 2.166667 30 15 29.802944
6500 3000 2.166667 30 20 29.809984
6500 3000 2.166667 30 30 29.809064
6500 3000 2.166667 60 0 59.780524
6500 3000 2.166667 60 5 59.778604
6500 3000 2.166667 60 15 59.790724
6500 3000 2.166667 60 20 59.789084
6500 3000 2.166667 60 30 59.802844
6500 3000 2.166667 60 50 59.804964
6500 3000 2.166667 60 60 59.800704
6500 3000 2.166667 120 0 119.705306
6500 3000 2.166667 120 5 119.672867
6500 3000 2.166667 120 15 119.724926
6500 3000 2.166667 120 20 119.703126
6500 3000 2.166667 120 30 119.748425
6500 3000 2.166667 120 50 119.754405
6500 3000 2.166667 120 60 119.767905
